asn,name,class,cc
AS10217,PT NTT Indonesia,Carrier,ID
AS10218,Optus Customer Network,Unknown,AU
AS10219,Skymedia Corporation,Eyeball,MN
AS1022,LAKSH CYBERSECURITY AND DEFENSE LLC,Unknown,US
AS10220,PT Kreasi Sejahtera Teknologi,Eyeball,ID
AS10221,Multi-homed connections to multiple ISP's providing,Unknown,AU
AS10222,Multibyte Info Technology Limited,Unknown,HK
AS10223,Superloop (Australia) Pty Ltd,Unknown,AU
AS10225,Nettlinx Limited,Unknown,IN
AS10226,ETL Company Limited,Unknown,LA
AS10227,Institute Rajabhat Suandusit,Unknown,TH
AS10228,Internet Content Provider,Unknown,US
AS10229,Yahoo Inc.,Unknown,TW
AS1023,COMPUTER TEAM INC.,Unknown,US
AS10230,internet content provider,Unknown,US
AS10231,Tech-trans System Ltd.,Unknown,HK
AS10232,IXTech Limited Hong Kong,Unknown,HK
AS10234,Zurich Financial Services Australia,Unknown,AU
AS10235,National Australia Bank Limited,Unknown,AU
AS10236,AXA Technology Services Asia (HK) Limited,Unknown,HK
AS10237,Dun & Bradstreet Australia Provider of Business,Unknown,AU
AS10238,Cyber Channel International Ltd,Unknown,HK
AS10239,Bharti Airtel Limited,Unknown,IN
AS1024,12393239 Canada Inc,Unknown,CA
AS10240,"The Motley Fool, LLC.",Unknown,US
AS10241,"Options & Choices, Inc.",Unknown,US
AS10242,US Internet Corp,Eyeball,US
AS10243,STRC,Unknown,US
AS10244,"Edify, Inc.",Unknown,US
AS10245,"Nextweb, Inc",Unknown,US
AS10246,Applied Graphics Technologies,Unknown,US
AS10248,"Blue Ridge Bankshares, Inc.",Eyeball,US
AS10249,"RedZone Wireless, LLC",Unknown,US
AS1025,Valor Christian High School,Unknown,US
AS10250,INet Solutions,Unknown,US
AS10251,"Digital Internet Access Link, Inc.",Unknown,US
AS10252,"Dot-Net, Ltd",Unknown,US
AS10253,Internet Engineering Group,Unknown,US
AS10254,Watson Wyatt Worldwide,Unknown,US
AS10255,Sinister and Solitary,Unknown,US
AS10256,Akula Communications Corp.,Unknown,US
AS10257,"Tangoe US, Inc.",Unknown,US
AS10258,Sapient Health Network,Unknown,US
AS10259,Blue Moon Online System,Unknown,US
AS1026,"YouTube, LLC",Unknown,US
AS10260,ACCESS Chicago Internet Services,Unknown,US
AS10261,B3zdna Systems Inc.,Unknown,CA
AS10263,MatchMaker/DFW-ISP,Unknown,US
AS10264,Scotia Capital Inc.,Unknown,CA
AS10265,Seneca College of Applied Arts and Technology,Unknown,CA
AS10266,1Path,Unknown,US
AS10267,"GlobalVision Systems, Inc",Unknown,US
AS10268,USS.NET,Unknown,US
AS10269,Belize Telemedia Limited,Eyeball,BZ
AS1027,TNT WiFi LLC,Unknown,US
AS10270,Idex Technologies,Unknown,US
AS10271,Meganet Communications,Unknown,US
AS10272,South Seas Internet Services,Unknown,US
AS10273,Florida Power & Light Company,Unknown,US
AS10274,Mercury Network Corporation,Unknown,US
AS10275,ABS-CBN International,Unknown,US
AS10276,GateKey Solutions,Unknown,US
AS10277,Ministerio de Cultura y Educacion,Unknown,AR
AS10278,Cable & Wireless (Barbados) Limited,Unknown,BB
AS10279,"West Carolina Communications, LLC",Eyeball,US
AS1028,Rosier Official,Unknown,US
AS10280,GLOBAL ONE,Unknown,US
AS10281,GLOBAL ONE,Unknown,US
