asn,name,cc,real_cone_size,observed_tree_size,secure_pct,vulnerable_pct,vuln_count
9063,VSE NET GmbH,DE,28,30,3.3333333333333335,66.66666666666666,20
12874,Fastweb SpA,IT,223,343,19.825072886297377,50.437317784256564,173
1267,WIND TRE S.P.A.,IT,99,132,3.787878787878788,57.57575757575758,76
22927,Telefonica de Argentina,AR,739,9699078857342933853512862195760621,5.026026411037328,68.75048878583372,6668164122146723639284169809482390
9049,"JSC ""ER-Telecom Holding""",RU,833,21309865051,5.026025657303446,68.75049190099163,14650637046
50509,Transroute.Net,RU,524,531772953580,5.026026388906817,68.7504887188663,365596504461
4755,TATA Communications (formerly VSNL),IN,2731,151334016255485201390809,5.026026411037328,68.75048878583372,104042875874879141515050
9498,Bharti Airtel Ltd.,IN,3986,417694668989460308668324,5.026026411037328,68.75048878583372,287167126562624211796732
10143,Exetel Pty Ltd,AU,30,29,44.827586206896555,0.0,0
28186,ITS TELECOMUNICACOES LTDA,BR,120,315,6.984126984126984,59.04761904761905,186
11172,"Alestra, S. de R.L. de C.V.",MX,107,175,4.0,65.71428571428571,115
4657,StarHub Ltd,SG,371,727,1.3755158184319118,70.70151306740028,514
139883,SPTEL PTE. LTD.,SG,33,34,0.0,70.58823529411765,24
61851,Garra Telecom Ltda,BR,19,480,6.25,64.79166666666667,311
265023,TMK NET LTDA,BR,24,57,0.0,84.21052631578947,48
15169,Google LLC,US,21,25,72.0,0.0,0
21947,"Blackfoot Telephone Cooperative, Inc.",US,18,18,0.0,55.55555555555556,10
16097,HL komm Telekommunikations GmbH,DE,37,51,3.9215686274509802,47.05882352941176,24
21413,Envia Tel GmbH,DE,57,62,33.87096774193548,20.967741935483872,13
44901,Belcloud LTD,RU,347,159056660489002755305657517376035318,5.026026411037328,68.75048878583372,109352231532613462327884839699808681
59796,StormWall s.r.o.,DE,195,333524797015321526303,5.026026411037327,68.75048878583372,229299928169993329111
6204,INTERKVM HOST SRL,PL,871,17254324060,5.026027075789139,68.75048146047166,11862430864
132770,Gazon Communications India Limited,IN,73,69,0.0,98.55072463768117,68
197068,High Load Lab (Qrator),RU,71,111,0.0,83.78378378378379,93
270706,LAN TELECOM INTERNET BANDA LARGA LTDA,BR,10,41,0.0,63.41463414634146,26
4230,Claro (Embratel),BR,1696,16620190204358669,5.026026411030057,68.7504887858596,11426462002636144
12570,"O2 Czech Republic, a.s.",CZ,14,20,10.0,65.0,13
2852,CESNET z.s.p.o.,CZ,62,997,14.944834503510531,53.86158475426279,537
43542,"OptoNet Communication, spol. s.r.o.",CZ,6,6,0.0,50.0,3
19108,Optimum,US,79,78,3.8461538461538463,69.23076923076923,54
13876,"FiberLight, LLC",US,82,107,7.476635514018691,55.140186915887845,59
8708,DIGI ROMANIA S.A.,RO,467,32547,5.321535010907303,69.25062217715919,22539
3741,Dimension Data,ZA,283,47423410792710874614377221424668,5.026026411037328,68.75048878583372,32603826718902550799791545483546
212330,"Civilisation Information Technology, communication an...",IQ,60,699214577455623076877,5.026026411037328,68.75048878583372,480713439662542816463
208293,AlSalam State Company,IQ,126,3140731549368750442693,5.026026411037328,68.75048878583372,2159268291641904608305
203214,Hulum Almustakbal Company,IQ,49,1043087817001881212129,5.026026411037328,68.75048878583372,717127972654276158981
3249,Telia Eesti AS,EE,56,52,1.9230769230769231,65.38461538461539,34
3327,CITIC Telecom CPC Netherlands B.V.,EE,55,215,0.46511627906976744,91.16279069767442,196
263250,Barbosa & Costa Ltda,BR,20,21,0.0,90.47619047619048,19
55002,"F5, Inc.",US,123,3149,3.556684661797396,72.05462051444903,2269
31042,Serbia BroadBand-Srpske Kablovske mreze d.o.o.,RS,60,116,0.0,55.172413793103445,64
11164,Internet2 I2PX,US,304,1180,13.389830508474576,57.88135593220339,683
50606,Horyzont Technologie Internetowe sp.z.o.o.,PL,71,93,1.0752688172043012,66.66666666666666,62
50309,Arcadiz Telecom NV,BE,35,35,0.0,54.285714285714285,19
33363,"Charter Communications, Inc",US,108,23662478,5.027563047285242,68.74977760148366,16267901
8641,"LLC ""Nauka-Svyaz""",RU,249,833821649901,5.026026405044264,68.7504887905061,573256459948
8455,atom86 BV,NL,236,329,4.5592705167173255,62.91793313069909,207
53163,CONID - Companhia Naciona para Inclusão Digital,BR,13,19,0.0,78.94736842105263,15
140641,YOTTA NETWORK SERVICES PRIVATE LIMITED,IN,60,6304625700574407869227,5.026026411037328,68.75048878583372,4334460985262199267297
269194,ST1 INTERNET,BR,209,25493040383932409835657947,5.026026411037328,68.75048878583372,17526589870323514495939076
265269,MEGA TELE INFORMATICA,BR,183,153831510936387152056128357638072,5.026026411037328,68.75048878583372,105759915675399430906373839138002
202914,Adeo Datacenter ApS,DK,14,12,0.0,83.33333333333334,10
11014,Metrotel,AR,110,105,3.8095238095238098,68.57142857142857,72
11426,Charter Communications Inc,US,93,130,62.30769230769231,3.076923076923077,4
11427,Charter Communications Inc,US,149,154,30.519480519480517,7.792207792207792,12
21859,Zenlayer Inc,US,407,2410162449725893368948296774355,5.026026411037328,68.75048878583372,1656998464719175737116860421789
131273,"CORE WINNER CO.,LIMITED",TW,3,29,13.793103448275861,62.06896551724138,18
63199,"CDS Global Cloud Co., Ltd",US,11,1572137380308186832934486080544,5.026026411037328,68.75048878583372,1080852133346680106590442928766
9304,HGC Global Communications Limited,HK,770,1015686301986768,5.026026410976353,68.75048878611332,698289297149502
140570,Hong Kong Beecloud System Technology Services Limited,HK,41,2005,0.5985037406483791,56.65835411471322,1136
9886,CTCSCI TECH LIMITED,HK,108,43647360095817173179168616990,5.026026411037328,68.75048878583372,30007773407987250331215232628
137983,TIANFENG (HONG KONG) COMMUNICATIONS LIMITED,HK,16,22,9.090909090909092,77.27272727272727,17
9050,Orange Romania S.A.,RO,327,5335,7.216494845360824,72.95220243673852,3892
263444,Open X Tecnologia Ltda,BR,391,897,2.6755852842809364,77.92642140468227,699
53013,WIXNET DO BRASIL LTDA - ME,BR,829,11726494709494495,5.026026411029446,68.75048878582722,8062022430221634
5511,Orange S.A.,FR,19753,236966417099254711313784759456,5.026026411037328,68.75048878583372,162915570014015083474316121407
6762,Telecom Italia Sparkle (Seabone),IT,37326,92317615693482,5.026026410928631,68.75048878898652,63468812027607
44530,HOPUS SAS,FR,102,3822,8.738880167451596,62.74201988487703,2398
39801,France-IX L3 Services,FR,159,1069,6.26753975678204,59.120673526660426,632
55720,Gigabit Hosting Sdn Bhd,MY,19,26,0.0,61.53846153846154,16
64050,BGP Network Limited,HK,35,475,19.157894736842103,36.63157894736842,174
269096,NORTH TECNOLOGIA,BR,203,336,1.1904761904761905,85.41666666666666,287
267613,ELETRONET S.A.,BR,791,11818812325972809,5.026026411028092,68.75048878584708,8125491242788249
64313,PT NAP Info Lintas Nusa,ID,33,313,7.0287539936102235,80.83067092651757,253
132585,SkyExchange Internet Access,HK,14,14,64.28571428571429,0.0,0
26744,"Planters Communications, LLC",US,35,553,0.18083182640144665,52.07956600361664,288
46849,"TEXAS LONE STAR NETWORK, LLC",US,30,24,41.66666666666667,8.333333333333332,2
21497,Vodafone Ukraine,UA,180,233,1.7167381974248928,74.67811158798283,174
12578,SIA Tet,LV,180,247,2.834008097165992,81.37651821862349,201
60159,EUROLINE UKRAINE LLC,UA,21,41,0.0,82.92682926829268,34
50263,A-Systems Sp. z o.o.,UA,2572,18263,7.085363850407929,71.83376225154684,13119
14840,BR.DIGITAL,BR,1251,76915755468193570072499207978393,5.026026411037328,68.75048878583372,52879957837699711358706892154972
27026,networkMaryland,US,15,24,41.66666666666667,41.66666666666667,10
271,BCNET,CA,18,18,11.11111111111111,77.77777777777779,14
52361,ARSAT - Empresa Argentina de Soluciones Satelitales S.A.,AR,171,185,52.43243243243243,4.864864864864865,9
7303,Telecom Argentina S.A.,AR,326,688,5.6686046511627906,69.62209302325581,479
203779,NORDFIBER AS,NO,6,5,20.0,40.0,2
52840,Ava Telecomunicações LTDA,BR,60,8497687009361935147843623,5.026026411037328,68.75048878583372,5842201354426626557872403
5578,"SWAN, a.s.",SK,121,515,11.45631067961165,59.22330097087378,305
266166,GLOBALNET SERVICOS E INFORMATICA LTDA-ME,BR,16,18,0.0,83.33333333333334,15
265198,BLUE3 TECNOLOGIA EIRELI,BR,10,9,0.0,88.88888888888889,8
16735,Algar Telecom,BR,1886,2082766199855746189635264856790360,5.026026411037328,68.75048878583372,1431911942666960035573521248403856
1764,Next Layer Telecommunications,AT,381,731,11.354309165526676,57.3187414500684,419
1853,ACONET,AT,103,260,8.461538461538462,62.30769230769231,162
270158,Wantelco SAS de CV,MX,21,23,47.82608695652174,47.82608695652174,11
19332,"Marcatel Com, S.A. de C.V.",MX,51,344,2.9069767441860463,63.08139534883721,217
34241,New Communication Technologies LLC,RU,6,37,0.0,97.2972972972973,36
270399,ITACONECT SERVICOS DE COM. E MULT. LTDA,BR,6,6,0.0,100.0,6
139009,Windstream Communication Limited,BD,235,166762398507660759458,5.026026411037327,68.75048878583372,114649964084996661775
53132,Mega Grupo de Telecomunicações Ltda,BR,7,11,0.0,90.9090909090909,10
24645,"CSC Telecom, UAB",LT,5,5,0.0,80.0,4
28158,Ampernet Telecomunicações Ltda,BR,63,83,0.0,91.56626506024097,76
263629,MASTER TECNOLOGIA,BR,48,835,0.5988023952095809,83.8323353293413,700
29691,Nine Internet Solutions AG,DE,28,40,0.0,62.5,25
8283,Netwerkvereniging Coloclue,NL,40,94,0.0,68.08510638297872,64
8881,1&1 Versatel GmbH,DE,231,893,0.22396416573348266,60.358342665173566,539
8220,COLT,US,1544,9314256955314182386079627920985841,5.026026411037328,68.75048878583372,6403597183547014813577386515044088
101,University of Washington,US,46,57,17.543859649122805,42.10526315789473,24
22351,INTELSAT GLOBAL SERVICE CORPORATION,US,5,5,80.0,0.0,0
