Quadrant,ASN,CC,Cone,Percentile,Name
Q2: THE VICTIMS,150178,BD,124,96.5632,EXABYTE LTD
Q2: THE VICTIMS,17762,IN,121,86.4640522875817,Tata Teleservices Maharashtra Ltd
Q2: THE VICTIMS,44066,DE,121,82.72727272727273,firstcolo GmbH
Q2: THE VICTIMS,4455,GB,118,60.14245283018868,IX Reach Ltd
Q2: THE VICTIMS,39686,NL,118,63.262162162162156,Eurofiber Nederland BV
Q2: THE VICTIMS,49581,DE,118,94.76,Ferdinand Zink trading as Tube-Hosting
Q2: THE VICTIMS,9198,KZ,116,62.047107438016525,JSC Kazakhtelecom
Q2: THE VICTIMS,31287,BG,115,90.79117647058824,IPACCT CABLE Ltd
Q2: THE VICTIMS,8434,SE,111,74.89999999999999,Telenor Sverige AB
Q2: THE VICTIMS,34779,SI,108,74.69166666666666,"T-2, d.o.o."
Q2: THE VICTIMS,268696,BR,108,60.293577981651374,Tuddo Telecom Ltda.
Q2: THE VICTIMS,6424,PT,107,61.59253731343285,EDGOO NETWORKS
Q2: THE VICTIMS,58224,IR,103,85.78252427184466,Iran Telecommunication Company PJS
Q2: THE VICTIMS,45117,IN,103,85.01559633027523,Ishan Netsol Pvt Ltd
Q2: THE VICTIMS,56630,LT,102,68.93882352941176,Melbikomas UAB
Q2: THE VICTIMS,47232,CZ,99,79.3439393939394,ISP Alliance a.s.
Q2: THE VICTIMS,136557,AU,99,81.73152173913044,Host Universal Pty Ltd
Q2: THE VICTIMS,39737,RO,97,65.13571428571429,Prime Telecom srl
Q2: THE VICTIMS,15412,GB,96,76.32741935483872,Flag Telecom UK Limited
Q2: THE VICTIMS,15557,FR,94,62.19670329670329,SFR SA
Q2: THE VICTIMS,10099,HK,93,77.73253012048193,China Unicom Global
Q2: THE VICTIMS,141137,ID,93,84.16555555555556,PT Media Cepat Indonesia
Q2: THE VICTIMS,12735,TR,93,90.1031914893617,TurkNet Iletisim Hizmetleri A.S.
Q2: THE VICTIMS,5606,RO,92,63.8065934065934,GTS Telecom SRL
Q2: THE VICTIMS,35168,KZ,91,66.84505494505494,TNS-Plus LLP
Q2: THE VICTIMS,263703,VE,90,73.12444444444444,VIGINET C.A (vnet)
Q2: THE VICTIMS,8262,BG,89,82.4113924050633,Evolink EAD
Q2: THE VICTIMS,63293,US,89,79.6054945054945,Meta (CDN Network)
Q2: THE VICTIMS,62610,US,88,96.55172413793103,Zenlayer Inc
Q2: THE VICTIMS,138915,HK,86,79.69108910891089,Kaopu Cloud HK Limited
Q2: THE VICTIMS,55824,IN,86,92.67999999999999,NKN Core Network
Q2: THE VICTIMS,29802,US,85,74.175,"HIVELOCITY, Inc."
Q2: THE VICTIMS,63927,HK,83,89.47127659574467,RISE
Q2: THE VICTIMS,17439,IN,83,86.38295454545454,NTT Communications India Pvt. Ltd.
Q2: THE VICTIMS,45458,TH,82,65.79610389610389,SBN-ISP/AWN-ISP and SBN-NIX/AWN-NIX
Q2: THE VICTIMS,11014,AR,81,79.37951807228916,Metrotel
Q2: THE VICTIMS,38731,VN,80,73.34814814814814,Viettel - CHT Company Ltd
Q2: THE VICTIMS,17494,BD,80,95.64047619047619,Bangladesh Telegraph & Telephone Board
Q2: THE VICTIMS,57866,NL,80,80.34810126582279,Fusix Networks B.V.
Q2: THE VICTIMS,35753,SA,80,62.00232558139535,Etihad Salam Telecom CJSC
Q2: THE VICTIMS,45305,ID,80,83.15853658536585,PT Lintas Data Prima
Q2: THE VICTIMS,42473,AT,80,60.44516129032258,Anexia Cloud Solutions GmbH
Q2: THE VICTIMS,47605,FI,79,61.013698630137,FNE-Finland Oy
Q2: THE VICTIMS,9829,IN,78,79.9329268292683,BSNL (Bharat Sanchar Nigam Ltd)
Q2: THE VICTIMS,9119,SI,76,77.14868421052631,SOFTNET d.o.o.
Q2: THE VICTIMS,35805,GE,76,63.52236842105264,"JSC ""Silknet"""
Q2: THE VICTIMS,47147,AT,75,65.1768115942029,Anexia Cloud Solutions GmbH
Q2: THE VICTIMS,835,CA,75,61.06860465116279,GoCodeIT Inc
Q2: THE VICTIMS,17408,TW,74,89.36567164179104,AboveNet Communications Taiwan
Q2: THE VICTIMS,133296,IN,74,79.53698630136985,Web Werks India Pvt. Ltd.
Q2: THE VICTIMS,15802,AE,74,61.221739130434784,Emirates Integrated Telecommunications Company PJSC
Q2: THE VICTIMS,30823,DE,73,96.23,aurologic GmbH
Q2: THE VICTIMS,2119,NO,72,71.63611111111112,Telenor Norge AS
Q2: THE VICTIMS,262589,BR,71,64.97922077922077,SAMM (Internexa)
Q2: THE VICTIMS,8308,PL,70,66.85972222222222,NAUKOWA I AKADEMICKA SIEC KOMPUTEROWA - PANSTWOWY INSTYTUT BADAWCZY
Q2: THE VICTIMS,135069,NZ,69,68.27971014492753,Feenix Communications Limited
Q2: THE VICTIMS,39386,SA,68,60.0304347826087,Saudi Telecom Company JSC
Q2: THE VICTIMS,17451,ID,68,70.31212121212121,Biznet Networks
Q2: THE VICTIMS,12310,RO,67,68.77761194029851,iNES GROUP SRL
Q2: THE VICTIMS,3267,RU,66,61.43088235294118,National Research Computer Network of Russia
Q2: THE VICTIMS,29208,CZ,66,69.15076923076923,"Quantcom, a.s."
Q2: THE VICTIMS,29049,AZ,66,72.96666666666665,Delta Telecom Ltd
Q2: THE VICTIMS,35625,FR,66,73.7328125,Eurofiber France SAS
Q2: THE VICTIMS,137491,BD,65,95.95303030303032,Peerex Networks Ltd
Q2: THE VICTIMS,132770,IN,64,97.4328125,Gazon Communications India Limited
Q2: THE VICTIMS,13194,LT,64,81.02564102564102,"UAB ""Bite Lietuva"""
Q2: THE VICTIMS,139057,SG,63,75.48088235294118,Legend Dynasty Pte. Ltd.
Q2: THE VICTIMS,21433,GB,63,82.69310344827586,Accenture UK Limited
Q2: THE VICTIMS,26042,US,62,74.840625,"FiberState, LLC"
Q2: THE VICTIMS,3399,SE,61,77.35849056603773,Obenet AB
Q2: THE VICTIMS,49800,AM,61,92.1875,GNC-Alfa CJSC
Q2: THE VICTIMS,132280,TH,61,69.57741935483871,Symphony Communication (Thailand) PCL.
Q2: THE VICTIMS,263702,CL,60,80.96458333333334,GRUPO ZGH SPA
Q2: THE VICTIMS,196844,PL,59,67.07887323943662,"Institute of Bioorganic Chemistry Polish Academy of Science, Poznan Supercomputing and Networking Center"
