asn,cone,verdict,secure_parents,parent_count
1045,0,STUB: VULNERABLE STABLE,"[3356, 46887]",2
10858,0,STUB: VULNERABLE STABLE,[3356],2
398423,0,STUB: VULNERABLE STABLE,"[13760, 3356]",2
54345,0,STUB: VULNERABLE STABLE,[3356],2
32197,0,STUB: VULNERABLE STABLE,"[3356, 46887]",2
33563,0,STUB: VULNERABLE STABLE,[3356],4
27897,0,STUB: VULNERABLE STABLE,[3356],2
400448,0,STUB: VULNERABLE STABLE,"[33652, 3356]",2
399384,0,STUB: VULNERABLE STABLE,"[33652, 3356]",3
18749,0,STUB: VULNERABLE STABLE,"[13649, 3356]",4
30286,0,STUB: VULNERABLE STABLE,"[2914, 20562, 6939, 3356]",5
31871,0,STUB: VULNERABLE STABLE,"[3356, 33655]",4
269751,0,STUB: VULNERABLE STABLE,"[3356, 21575]",2
39176,0,STUB: VULNERABLE STABLE,"[3356, 174]",3
17003,0,STUB: VULNERABLE STABLE,"[33667, 33668, 33287, 33651, 33659, 3356, 701]",9
23251,0,STUB: VULNERABLE STABLE,"[7018, 3356, 701]",4
31814,0,STUB: VULNERABLE STABLE,"[32298, 3356]",2
27021,0,STUB: VULNERABLE STABLE,"[11992, 3356, 701]",4
396104,0,STUB: VULNERABLE STABLE,"[3356, 12213]",2
10599,0,STUB: VULNERABLE STABLE,"[3549, 3910, 7018, 209, 3356, 701]",7
30293,0,STUB: VULNERABLE STABLE,"[3356, 33287]",2
269331,0,STUB: VULNERABLE STABLE,"[3356, 53013]",4
32511,0,STUB: VULNERABLE STABLE,"[36012, 3356]",2
395488,0,STUB: VULNERABLE STABLE,"[13760, 3356]",2
36736,0,STUB: VULNERABLE STABLE,"[22258, 3356]",2
1313,0,STUB: VULNERABLE STABLE,"[7018, 3356, 2685]",3
31747,0,STUB: VULNERABLE STABLE,"[4637, 10021, 174, 2516, 3356, 11351, 8220, 701]",12
5705,0,STUB: VULNERABLE STABLE,"[33490, 3356]",2
400516,0,STUB: VULNERABLE STABLE,"[3356, 701, 174]",4
50399,0,STUB: VULNERABLE STABLE,"[20562, 3356]",3
32528,0,STUB: VULNERABLE STABLE,"[2914, 4812, 8220, 174, 33491, 2516, 3257, 3356]",11
53230,0,STUB: VULNERABLE STABLE,[3356],5
398774,0,STUB: VULNERABLE STABLE,[3356],2
33630,0,STUB: VULNERABLE STABLE,[3356],2
52848,0,STUB: VULNERABLE STABLE,"[6939, 3356]",5
10250,0,STUB: VULNERABLE STABLE,"[3356, 7029, 11351]",4
212031,0,STUB: VULNERABLE STABLE,"[60672, 3356]",2
13474,0,STUB: VULNERABLE STABLE,"[3356, 19037, 7303]",4
11278,0,STUB: VULNERABLE STABLE,"[33650, 3356, 6461]",3
55248,0,STUB: VULNERABLE STABLE,"[3356, 23005, 174]",3
13598,0,STUB: VULNERABLE STABLE,"[7385, 3356]",2
200435,0,STUB: VULNERABLE STABLE,"[8554, 3356, 174]",4
47309,0,STUB: VULNERABLE STABLE,"[20676, 3356, 12399]",3
25750,0,STUB: VULNERABLE STABLE,[3356],2
53454,0,STUB: VULNERABLE STABLE,"[33652, 3356, 6461, 174]",4
26224,0,STUB: VULNERABLE STABLE,"[3356, 701]",3
393492,0,STUB: VULNERABLE STABLE,[3356],2
396145,0,STUB: VULNERABLE STABLE,"[4181, 3356]",3
19,0,STUB: VULNERABLE STABLE,"[3356, 6461]",3
64255,0,STUB: VULNERABLE STABLE,"[7018, 33491, 3356, 6461]",5
36444,0,STUB: VULNERABLE STABLE,"[20473, 3356, 174]",4
10975,0,STUB: VULNERABLE STABLE,"[6461, 3356, 701]",4
16802,0,STUB: VULNERABLE STABLE,"[393457, 3356]",2
22401,0,STUB: VULNERABLE STABLE,"[18683, 3356]",2
49484,0,STUB: VULNERABLE STABLE,"[8551, 174, 3356]",5
36032,0,STUB: VULNERABLE STABLE,"[7018, 3356, 6461, 16164]",4
396258,0,STUB: VULNERABLE STABLE,"[33650, 3356]",2
32532,0,STUB: VULNERABLE STABLE,"[3356, 36149]",2
11733,0,STUB: VULNERABLE STABLE,"[25649, 7018, 33667, 3356]",4
16618,0,STUB: VULNERABLE STABLE,[3356],2
393895,0,STUB: VULNERABLE STABLE,"[3257, 3356]",3
272021,0,STUB: VULNERABLE STABLE,[3356],4
29596,0,STUB: VULNERABLE STABLE,"[174, 5617, 24724, 3356]",6
273596,0,STUB: VULNERABLE STABLE,[3356],2
20423,0,STUB: VULNERABLE STABLE,"[16713, 3356]",2
19554,0,STUB: VULNERABLE STABLE,"[6461, 3356, 701]",4
393920,0,STUB: VULNERABLE STABLE,"[3356, 15164]",2
23478,0,STUB: VULNERABLE STABLE,"[7385, 33650, 3356]",3
22125,0,STUB: VULNERABLE STABLE,"[7018, 3356, 701]",4
63222,0,STUB: VULNERABLE STABLE,"[7018, 3356]",3
38090,0,STUB: VULNERABLE STABLE,"[2914, 3491, 3786, 1299, 13335, 3356, 4766]",8
46784,0,STUB: VULNERABLE STABLE,"[1273, 7018, 11404, 174, 33657, 6939, 3356, 4637]",9
54785,0,STUB: VULNERABLE STABLE,[3356],2
32138,0,STUB: VULNERABLE STABLE,"[7795, 3356]",2
14321,0,STUB: VULNERABLE STABLE,[3356],2
16861,0,STUB: VULNERABLE STABLE,[3356],2
17350,0,STUB: VULNERABLE STABLE,"[2914, 4637, 1299, 6453, 13335, 9498, 3356, 6461]",10
