asn,name,cone,verdict,dirty,total
6799,Ote SA (Hellenic Telecommunications Organisation),38,SECURE (Active Local ROV),1,1
5408,National Infrastructures for Research and Technology S.A.,38,SECURE (Active Local ROV),2,3
51088,A2B IP B.V.,38,SECURE (Active Local ROV),1,3
16302,Suomi Communications Oy,36,SECURE (Active Local ROV),2,4
29405,VNET a.s.,36,SECURE (Active Local ROV),1,6
6866,Cyprus Telecommunications Authority,36,SECURE (Active Local ROV),2,6
6736,Institute for Research in Fundamental Sciences,36,SECURE (Active Local ROV),1,1
34019,Hivane Association,35,SECURE (Active Local ROV),7,10
4213,Krypt Technologies,35,SECURE (Active Local ROV),1,5
8434,Telenor Sverige AB,35,SECURE (Full Coverage),0,1
25512,CD-Telematika a.s.,35,SECURE (Full Coverage),0,2
262287,Latitude.sh LTDA,35,PARTIAL (Mixed Feeds),4,8
394256,Tech Futures Interactive Inc.,35,SECURE (Active Local ROV),4,7
45204,GEMNET LLC,34,SECURE (Active Local ROV),22,28
197071,active 1 GmbH,34,SECURE (Active Local ROV),3,5
680,Deutsches Forschungsnetz (DFN),34,SECURE (Full Coverage),0,3
17054,Expedient,34,SECURE (Active Local ROV),2,8
262253,Fiberlux,33,PARTIAL (Mixed Feeds),2,4
3329,Vodafone Greece,33,SECURE (Active Local ROV),2,3
59105,Home NOC Operators Group,33,SECURE (Active Local ROV),5,7
786,Jisc Services Limited,33,SECURE (Full Coverage),0,2
1241,Nova Telecommunications & Media Single Member S.A,32,SECURE (Active Local ROV),2,3
29670,"Individual Network Berlin (""IN-Berlin"") e.V.",32,SECURE (Active Local ROV),3,8
41720,Revolution Provider S.r.l.,32,SECURE (Active Local ROV),2,5
39326,Syntura Group Limited,32,SECURE (Active Local ROV),1,2
47692,Nessus GmbH,31,SECURE (Active Local ROV),2,4
35432,Cablenet Communication Systems plc,31,SECURE (Active Local ROV),1,2
131429,MOBIFONE Corporation,30,SECURE (Active Local ROV),6,9
12337,noris network AG,30,SECURE (Active Local ROV),4,8
20676,Plusnet GmbH,30,SECURE (Active Local ROV),1,4
12859,BIT BV,30,SECURE (Active Local ROV),1,2
10143,Exetel Pty Ltd,30,SECURE (Full Coverage),0,1
56911,Warian S.R.L.,30,SECURE (Active Local ROV),1,7
39216,AL-SARD FIBER Co.,30,SECURE (Active Local ROV),4,8
13213,UK-2 Limited,29,SECURE (Active Local ROV),3,8
29518,Bredband2 AB,29,SECURE (Full Coverage),0,2
262725,CONECT,29,PARTIAL (Mixed Feeds),6,10
32425,Pixel Factory,29,SECURE (Active Local ROV),2,6
11967,Hop179 LLC,28,SECURE (Active Local ROV),5,7
