asn,cc,name,cone,unsigned_customers,bad_pct
20115,US,Charter Communications LLC,262,2569,56.05498581715034
133296,IN,Web Werks India Pvt. Ltd.,85,2543,43.52961314618282
8447,AT,A1 Telekom Austria AG,187,2506,44.205327218204275
59692,AE,IQWeb FZ-LLC,87,2485,41.3959686823255
10075,BD,Fiber@Home Global Limited,348,2474,38.60196598533312
46887,US,Crown Castle Fiber LLC,1402,2411,56.1089131952525
34927,CH,iFog GmbH,29351,2410,48.42274462527627
1828,US,Unitas Global,223,2409,56.48300117233295
32097,US,"WholeSale Internet, Inc.",56,2334,48.73668824389225
8717,BG,A1 Bulgaria EAD,219,2257,43.57142857142857
138840,ID,PT Parsaoran Global Datatrans,431,2253,46.06419955019423
44901,BG,Belcloud LTD,104,2238,44.02911666338776
61568,BR,ALOO TELECOM - FSF TECNOLOGIA SA,569,2237,53.03461356092936
208972,TR,GIBIRNet Iletisim,8015,2150,47.16981132075472
199524,LU,Gcore S.A.,129,2129,49.4196843082637
64289,US,Macarne.com,190,2081,50.277844890070064
577,CA,Bell Canada,571,2065,51.92356047271814
39392,CZ,SH.cz s.r.o.,174,2043,42.50052007489079
56534,RU,Comfortel Ltd.,89,1994,39.43049238679059
9507,AU,NextHop Pty Ltd,62,1977,42.78294741397966
8732,RU,JSC Comcor,142,1964,39.44567182165093
52873,BR,Softdados Telecomunicações,95,1959,52.81747101644648
209,US,Lumen (ex. Qwest),701,1788,52.434017595307914
60068,GB,Datacamp Limited (CDN77 / DataPacket),760,1782,43.0642822619623
6327,CA,Shaw Communications,528,1760,50.142450142450144
3303,CH,Swisscom (Schweiz) AG,8187,1689,42.54408060453401
28329,BR,SAMM  (G8/Megatelecom),137,1680,47.91785510553337
22773,US,Cox Communications Inc.,535,1651,49.52009598080384
1820,US,WNET TELECOM USA Corp.,170,1619,40.770586753966256
35320,UA,Eurotranstelecom Ltd,244,1611,43.376413570274636
28283,BR,Adyl Telecom,380,1585,59.94704992435703
7029,US,Windstream Communications LLC,347,1572,50.97276264591439
5713,ZA,Telkom SA Ltd.,57,1568,49.38582677165355
812,CA,Rogers Communications Canada Inc.,239,1565,50.112071725904585
29226,RU,MasterTel,262,1543,45.31571218795889
20804,PL,Exatel S.A.,472,1540,46.066407418486385
37613,GH,DOLPHIN TELECOMMUNICATION LIMITED,107,1537,51.55987923515599
4134,CN,China Telecom Backbone,377,1526,51.993185689948895
20562,XX,Open Peering (Broadband Hosting B.V.),2209,1488,38.26176394960144
3786,KR,LG DACOM Corporation,451,1474,53.502722323049
13237,DE,euNetworks GmbH,288,1471,43.482116464676324
34549,DE,meerfarbig GmbH & Co. KG,33499,1466,48.60742705570292
50581,UA,Ukrainian Telecommunication Group LLC,54,1464,44.9079754601227
12400,IL,Partner Communications Ltd.,124,1462,48.10793024021059
25478,RU,iHome LLC,52,1462,49.19246298788694
11404,US,Wave Broadband,202,1457,43.79320709347761
136557,AU,Host Universal Pty Ltd,76,1457,42.45337995337996
9141,PL,P4 Sp. z o.o.,77,1447,46.70755326016785
199995,UA,Omega Telecom LLC,180,1441,44.821150855365474
61832,BR,Giga+ Empresas,653,1438,61.00975816716164
37282,NG,Mainone Cable Company,151,1428,45.11848341232228
33763,MU,Paratus Telecommunications Limited,80,1422,50.10570824524313
36236,US,"NetActuate, Inc",186,1406,45.078550817569734
396998,US,"Path Network, Inc.",68,1404,43.2
3292,DK,TDC Holding A/S,91,1398,42.58300335059397
17676,JP,SoftBank Corp.,381,1390,45.48429319371728
198949,IL,Radware,207,1388,48.49755415793152
1764,AT,Next Layer Telecommunications,1382,1385,46.538978494623656
52863,BR,UPX TECNOLOGIA LTDA,98,1383,60.208968219416626
57344,BG,Telehouse EAD,178,1379,39.75208993946382
57724,RU,DDOS-GUARD LTD,84,1375,43.540215326155796
6730,CH,Sunrise GmbH,265,1367,43.204804045512006
50629,DE,LWLcom GmbH,107,1363,45.95414699932569
54004,US,Optimum WiFi,469,1352,46.444520783236
9009,RO,M247 Europe SRL,264,1347,42.65357821405953
835,CA,GoCodeIT Inc,54,1347,48.02139037433155
31216,FR,BSO Network Solutions SAS,75,1337,39.946220495966536
12552,SE,GlobalConnect (IP-Only),248,1333,45.38644875723528
31027,DK,GlobalConnect A/S,220,1333,45.38644875723528
47147,AT,Anexia Cloud Solutions GmbH,75,1330,43.06994818652849
4455,GB,IX Reach Ltd,124,1329,40.10259505129753
4761,ID,PT Indosat Tbk,193,1327,39.61194029850746
34309,DE,Link11 GmbH,64,1325,44.808927967534665
16019,CZ,Vodafone Czech Republic a.s.,139,1324,45.97222222222222
2516,JP,KDDI Corporation,271,1323,47.13216957605985
41095,GB,IPTP LTD,65,1321,42.64041316978696
52025,GB,ParadoxNetworks Limited,2085,1317,48.135964912280706
24961,DE,WIIT AG (fka. myLoc Managed IT AG),130,1304,44.76484723652592
23947,ID,PT Mora Telematika Indonesia Tbk,490,1300,39.53771289537713
5650,US,Frontier Communications,239,1300,48.309178743961354
49800,AM,GNC-Alfa CJSC,59,1297,42.261322906484196
17378,US,"TierPoint, LLC",131,1294,46.95210449927431
56630,LT,Melbikomas UAB,71,1289,43.606224627875505
35000,RU,"JSC ""Severen-Telecom""",69,1288,47.58034724787588
57304,RU,RETN Russia,4115,1286,43.460628590740114
197068,RU,High Load Lab (Qrator),57,1286,43.460628590740114
20001,US,Charter Communications Inc,153,1281,47.923681257014586
63927,HK,RISE,72,1279,42.19729462223689
8412,AT,T-Mobile Austria GmbH,56,1279,43.35593220338983
6079,US,RCN,110,1276,46.265409717186365
55002,US,"F5, Inc.",137,1269,42.46987951807229
8262,BG,Evolink EAD,102,1267,40.20945731513805
39737,RO,Prime Telecom srl,101,1267,39.742785445420324
202,US,"Level 3 Parent, LLC",81,1267,47.488755622188904
12912,PL,T-Mobile Polska S.A.,266,1266,46.22124863088718
2711,US,Spirit Communications,103,1260,48.03659931376287
35753,SA,Etihad Salam Telecom CJSC,102,1259,44.884135472370765
4809,CN,China Telecom Next Generation Carrier Network,52,1258,48.59018926226342
38158,ID,PT Cyberindo Aditama,325,1253,40.708252111760885
7049,AR,Silica Networks Argentina S.A.,400,1237,40.82508250825082
13767,US,"DataBank Holdings, Ltd.",91,1237,47.6502311248074
24785,NL,Joint Transit (Broadband Hosting B.V.),279,1234,43.71236273467942
8400,RS,Telekom Srbija a.d.,114,1232,45.867460908413996
48858,RU,"JSC ""ER-Telecom Holding""",10871,1228,45.76966082743198
21574,BR,Century Telecom Ltda,150,1222,47.29102167182663
38195,AU,Superloop,157,1216,42.45810055865922
58511,AU,Swoop (Anycast Global Backbone),69,1212,44.938820912124584
5056,US,Aureon Network Services,66,1212,47.92408066429419
12874,IT,Fastweb SpA,224,1211,45.99316369160653
3269,IT,TIM S.p.A. (fka. Telecom Italia S.p.A.),176,1210,46.84475416182733
34224,BG,Neterra Ltd.,131,1209,40.39425325760107
34872,BE,Servperso Systems,294,1207,46.87378640776699
4651,TH,The Communications Authority of Thailand (CAT),64,1207,42.635111268103145
24534,ID,PT Trans Hybrid Communication,107,1206,43.412526997840175
207841,GB,Inferno Communications Ltd,51,1204,47.96812749003984
45147,ID,PT NAP Info Lintas Nusa,133,1202,41.76511466296039
55818,ID,Matrix Cable Internet Exchange,56,1201,41.73036831132731
12578,LV,SIA Tet,170,1198,42.846924177396275
58389,ID,PT Sumber Data Indonesia,179,1197,42.11822660098522
55655,ID,PT Sarana Insan Muda Selaras,492,1195,40.91064703868538
55685,ID,PT Jala Lintas Media,136,1193,42.929111191075926
7725,US,"Comcast Cable Communications, LLC",60,1192,46.41744548286604
29838,US,"Atlantic Metro Communications II, Inc.",93,1191,45.614707008808885
9829,IN,BSNL (Bharat Sanchar Nigam Ltd),73,1190,44.00887573964497
209533,XX,iFog GmbH - BGPTunnel,120,1186,47.68797748291114
29632,BG,Netassist International EOOD,24525,1185,47.68611670020121
8772,UA,NetAssist LLC,106,1185,47.68611670020121
29075,FR,IELO-LIAZO SERVICES SAS,143,1184,44.08041697691735
209735,GB,Lagrange Cloud Technologies Limited,68,1184,47.66505636070853
212895,DE,Johannes Ernst,198,1183,47.89473684210526
53667,US,FranTech Solutions,208,1182,47.43178170144463
2119,NO,Telenor Norge AS,2217,1179,44.98283098054178
9808,CN,China Mobile Backbone,61,1177,47.92345276872964
9790,NZ,Two Degrees Networks Limited,112,1174,44.946401225114855
41051,XX,Freetransit Project (Openfactory GmbH),149,1172,47.914963205233036
13194,LT,"UAB ""Bite Lietuva""",64,1172,43.61741719389654
10103,HK,HK Broadband Network Ltd.,83,1165,45.52559593591246
16276,FR,OVH SAS,213,1162,45.604395604395606
4780,TW,Digital United Inc.,52,1158,43.76417233560091
56655,NO,Gigahost AS,11314,1157,46.46586345381526
11426,US,Charter Communications Inc,89,1155,46.913078797725426
9119,SI,SOFTNET d.o.o.,67,1154,45.43307086614173
9730,IN,Bharti Telesonic Ltd,235,1152,37.46341463414634
49915,GB,Megaport (UK) Limited,120,1152,43.63636363636363
917,US,"Misaka Network, Inc.",62,1149,46.31197097944377
134654,ID,PT Data Utama Dinamika,102,1147,43.29935824839562
11796,US,"Airstream Communications, LLC",75,1147,47.162828947368425
35819,SA,"Etihad Etisalat, a joint stock company",83,1146,46.359223300970875
24115,XX,Equinix IX,3242,1144,45.110410094637224
56258,ID,PT PGAS Telekomunikasi Nusantara,64,1142,44.73168820994908
35625,FR,Eurofiber France SAS,292,1141,45.29575228265185
24748,XX,THINX WAW Route Servers,70,1140,45.80152671755725
12735,TR,TurkNet Iletisim Hizmetleri A.S.,66,1140,41.17009750812567
394256,CA,Tech Futures Interactive Inc.,3127,1139,46.05742013748483
4787,ID,PT Cyberindo Aditama,234,1137,44.466171294485726
3204,XX,xTom OU,58,1135,47.15413377648525
7717,ID,OpenIXP Route Servers,422,1133,45.55689585846402
17922,XX,PT Indosat Tbk,71,1133,45.55689585846402
12297,AM,Telecom Armenia OJSC,60,1130,44.07176287051482
26042,US,"FiberState, LLC",56,1127,46.53179190751445
15924,TR,Vodafone Turkey,149,1126,43.158298198543505
47605,FI,FNE-Finland Oy,75,1126,45.75375863470134
19108,US,Optimum,78,1124,46.484698097601324
7470,TH,"TRUE INTERNET Co.,Ltd.",101,1123,44.45764053840063
17665,IN,ONEOTT INTERTAINMENT LIMITED,77,1123,38.197278911564624
53356,CA,Free Range Cloud Hosting Inc.,97,1122,46.17283950617284
57866,NL,Fusix Networks B.V.,82,1122,45.24193548387097
42708,SE,Glesys AB,1759,1120,45.714285714285715
49581,DE,Ferdinand Zink trading as Tube-Hosting,67,1119,45.74816026165168
8455,NL,atom86 BV,152,1118,43.688940992575226
263702,CL,GRUPO ZGH SPA,66,1118,45.37337662337662
18229,IN,CtrlS,255,1116,38.83089770354906
38001,SG,NewMedia Express Pte. Ltd.,6910,1115,45.41751527494908
17439,IN,NTT Communications India Pvt. Ltd.,89,1115,41.250462449130595
138128,ID,PT Solnet Indonesia,85,1115,45.05050505050505
35805,GE,"JSC ""Silknet""",80,1115,45.41751527494908
41327,IT,Fiber Telecom S.p.A.,36805,1114,43.31259720062208
25091,CH,IP-Max SA,20172,1114,44.883158742949234
4750,TH,CS LOXINFO PUBLIC COMPANY LIMITED,60,1114,44.95560936238902
44324,US,MoeDove LLC,129,1113,46.74506509869802
45177,NZ,Devoli,57,1112,45.27687296416938
45117,IN,Ishan's Network,116,1111,41.81407602559277
8764,LT,"Telia Lietuva, AB",54,1110,45.58521560574948
45296,ID,PT Rabik Bangun Nusantara,169,1109,43.79936808846762
6696,BE,VERIXI SA,4981,1108,45.61547962124331
45458,TH,SBN-ISP/AWN-ISP and SBN-NIX/AWN-NIX,72,1108,45.5779514603044
16509,US,"Amazon.com, Inc.",131,1107,45.12841418671015
58717,BD,Summit Communications Ltd,953,1106,34.146341463414636
