Rank,ASN,Cone_Size,Node_Degree,Direct_Customers
85,23520,445,161,148
86,37662,443,181,158
87,8966,441,162,81
88,10429,425,201,186
89,3786,424,379,363
90,138840,423,263,248
91,28917,401,155,139
92,50607,390,262,257
93,54004,389,261,258
94,7049,389,238,224
95,2497,380,196,179
96,3326,375,221,213
97,267613,375,167,154
98,1273,369,148,108
99,10075,363,187,164
100,29535,355,275,266
101,7545,354,269,259
102,577,351,241,228
103,17676,342,184,167
104,23764,340,150,93
105,45820,340,208,202
106,31500,333,154,137
107,271253,329,200,189
108,139009,326,196,176
109,20804,326,266,255
110,5617,325,264,262
111,4134,317,163,147
112,55836,310,168,156
113,28283,308,231,217
114,19551,307,207,160
115,55410,306,187,173
116,18403,305,263,236
117,38158,303,203,182
118,29076,293,157,145
119,264409,290,117,79
120,7303,289,195,184
121,34984,288,238,230
122,29119,287,204,190
123,35297,283,146,135
124,62081,280,252,245
125,6774,278,152,117
126,22381,276,162,142
127,7029,273,208,199
128,6327,270,199,185
129,812,260,208,196
130,9299,254,196,164
131,50509,252,116,107
132,12912,247,199,192
133,23106,247,172,160
134,42337,244,146,146
135,12552,242,177,165
136,852,240,198,192
137,3255,239,167,158
138,9730,238,186,183
139,3303,237,179,154
140,10796,237,174,171
141,18229,237,173,162
142,52965,231,144,134
143,53181,229,149,141
144,11432,228,195,185
145,13237,227,174,164
146,263009,225,115,108
147,20115,223,151,137
148,24785,222,177,168
149,58682,222,172,153
150,29226,220,192,179
151,22927,218,157,150
152,31027,213,175,167
153,1764,212,136,127
154,1257,209,184,176
155,28598,209,118,104
156,7738,203,109,94
157,8641,201,140,129
158,33491,201,175,173
159,4761,197,170,147
160,13536,196,161,155
161,7474,196,134,124
162,1031,196,85,49
163,13030,195,126,117
164,8218,193,132,124
165,17557,190,123,89
166,9009,190,147,118
167,262663,190,97,61
168,12874,189,191,179
169,9050,188,154,143
170,2516,187,158,130
171,3269,186,163,160
172,20562,186,124,114
173,35320,185,109,100
174,59796,185,107,75
175,263903,184,109,103
176,34872,184,154,148
177,53667,184,146,138
178,198949,182,172,152
179,8881,182,173,159
180,269194,179,119,110
181,50263,179,86,70
182,53087,179,110,96
183,30781,178,151,145
184,5650,177,170,166
185,702,177,173,160
186,38195,176,106,83
187,39392,174,98,89
188,12302,174,152,149
189,60171,174,117,104
190,269096,173,135,129
191,8717,173,174,163
192,41327,173,159,145
193,16276,171,156,133
194,32098,170,148,127
195,201706,167,121,102
196,37271,166,139,110
197,8732,166,117,110
198,1828,166,95,72
199,15164,165,152,148
200,263444,165,85,63
201,150178,164,138,121
202,45296,163,123,109
203,8551,163,141,118
204,212895,162,132,122
205,50673,162,109,95
206,58389,162,105,86
207,199995,162,119,106
208,17762,162,88,78
209,12578,161,102,91
210,28146,161,105,95
211,265269,159,117,109
212,58552,159,95,86
213,135607,159,126,110
214,20001,157,132,129
215,8447,156,130,116
216,43298,155,84,73
217,1680,155,152,134
218,5603,155,132,123
219,52361,155,155,153
220,13649,155,160,155
221,11664,152,116,109
222,20055,151,121,114
223,55002,147,103,99
224,262589,147,104,84
225,4787,147,135,125
226,6663,147,117,95
227,37282,146,121,109
228,57344,145,138,115
229,45903,143,119,86
230,4788,143,127,85
231,8455,143,107,98
232,52573,142,111,104
233,58495,142,118,102
234,18678,142,110,91
235,11404,141,122,112
236,3573,140,93,19
237,43754,140,86,84
238,21949,139,122,115
239,3209,139,97,91
240,6204,138,86,67
241,38193,138,108,74
242,23005,138,136,131
243,8866,138,109,97
244,64315,136,89,77
