asn,name,source,verdict,apnic_score,signed_pct,cone,dirty_upstreams
197071,active 1 GmbH,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,34,3
17054,Expedient,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,34,2
680,Deutsches Forschungsnetz (DFN),BGP.Tools List,Transit: INHERITED (Clean Pipe),-1,0.0,34,0
45204,GEMNET LLC,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,34,22
786,Jisc Services Limited,BGP.Tools List,Transit: INHERITED (Clean Pipe),-1,0.0,33,0
59105,Home NOC Operators Group,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,33,5
3329,Vodafone Greece,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,33,2
41720,Revolution Provider S.r.l.,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,32,2
1241,Nova Telecommunications & Media Single Member S.A,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,32,2
29670,"Individual Network Berlin (""IN-Berlin"") e.V.",BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,32,3
39326,Syntura Group Limited,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,32,1
35432,Cablenet Communication Systems plc,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,31,1
47692,Nessus GmbH,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,31,2
131429,MOBIFONE Corporation,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,30,6
10143,Exetel Pty Ltd,BGP.Tools List,Transit: INHERITED (Clean Pipe),-1,0.0,30,0
12337,noris network AG,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,30,4
20676,Plusnet GmbH,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,30,1
12859,BIT BV,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,30,1
39216,AL-SARD FIBER Co.,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,30,4
56911,Warian S.R.L.,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,30,4
29518,Bredband2 AB,BGP.Tools List,Transit: INHERITED (Clean Pipe),-1,0.0,29,0
13213,UK-2 Limited,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,29,3
32425,Pixel Factory,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,29,2
41108,comtrance service GmbH,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,28,1
1103,SURF B.V.,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,28,2
52376,CABASE Camara Arg de Base de Datos y Serv en Linea,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,28,4
11967,Hop179 LLC,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,28,5
803,Saskatchewan Telecommunications,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,27,3
2611,BELNET,BGP.Tools List,Transit: INHERITED (Clean Pipe),-1,0.0,27,0
6821,Makedonski Telekom AD-Skopje,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,27,2
33915,Vodafone Libertel B.V.,BGP.Tools List,Transit: INHERITED (Clean Pipe),-1,0.0,26,0
2027,MilkyWan,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,26,5
208453,Johan Karlsson (SweHosting),BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,26,2
12306,Plus.line AG,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,26,3
6306,"TELEFONICA VENEZOLANA, C.A. (Movistar)",BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,26,3
15943,wilhelm.tel GmbH,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,26,3
57630,84 Grams AB,BGP.Tools List,Transit: INHERITED (Clean Pipe),-1,0.0,25,0
18001,Dialog Axiata PLC.,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,25,5
5413,Wavenet Limited,BGP.Tools List,Transit: INHERITED (Clean Pipe),-1,0.0,25,0
6848,Telenet BV,BGP.Tools List,Transit: INHERITED (Clean Pipe),-1,0.0,25,0
7122,Bell Canada,BGP.Tools List,Transit: INHERITED (Clean Pipe),-1,0.0,25,0
15964,CAMTEL,BGP.Tools List,Transit: UNVERIFIED (Dirty Feed),-1,0.0,25,4
