asn,count,cone,name
136787,14,1,PacketHub S.A.
147049,14,1,PacketHub S.A.
16477,14,0,Nielsen Consumer LLC
63399,14,0,"Dialpad, Inc."
10100,14,0,UBS Group AG
33619,14,0,"Advanced Micro Devices, Inc."
137182,14,0,Blue Wireless PTE LTD
272710,14,0,FIBRASIL INFRAESTRUTURA E FIBRA OTICA S.A.
12257,14,0,"Dell, Inc."
206540,14,0,BEANSUMMERHOST NEXTGEN SHED HOSTING SOLUTIONS LLC
35598,13,861,INETCOM CARRIER LLC
7473,13,305,Singapore Telecommunications Ltd
64289,13,170,Macarne.com
45903,13,140,CMC Telecom Infrastructure Company
2854,13,100,LLC Orange Business Services
33763,13,94,Paratus Telecommunications Limited
56630,13,68,Melbikomas UAB
10753,13,53,"Level 3 Parent, LLC"
45474,13,44,Nexusguard Pte. Ltd.
45352,13,36,IP ServerOne Solutions Sdn. Bhd.
23352,13,32,DEFT.COM
14230,13,17,ARK Data Centers LLC
49666,13,16,Telecommunication Infrastructure Company
49121,13,16,"Infinity Telecom, s.r.o."
4058,13,14,CITIC Telecom International CPC Limited
25192,13,11,"CZ.NIC, z.s.p.o."
398704,13,10,STACKS INC
31083,13,9,Telepoint Ltd
60388,13,6,"JSC ""Oil Transportation and Production Telecommunications"""
29457,13,2,Options Technology Ltd
12198,13,1,JSMSR Network
152179,13,1,GLOBAL COMMUNICATION NETWORK LIMITED
63150,13,1,Bage Cloud LLC
400097,13,1,National Wi-Fi
39063,13,1,Leitwert GmbH
204720,13,1,GLOBAL CLOUD NETWORK LLC
396253,13,0,"iboss,inc"
213607,13,0,WORLD FIRST COMMUNICATION LTD
13105,13,0,INFORM LLC
213576,13,0,Robert Weir
395359,13,0,InTouch Health
33442,13,0,Zebra Technologies Corporation
13443,13,0,LinkedIn Corporation
215887,13,0,Serhiy Bobrov
393319,13,0,"Anduril Industries, Inc."
153725,13,0,Tenonet (Hangzhou) Co Ltd
28572,13,0,Apoiocom Digital Ltda - EPP
211729,13,0,Yiming Zhang
9930,12,3049,TIME dotCom Bhd
4230,12,1293,Claro (Embratel)
58717,12,1075,Summit Communications Ltd
55720,12,685,Gigabit Hosting Sdn Bhd
577,12,628,Bell Canada
4800,12,620,PT Aplikanusa Lintasarta
28283,12,373,Adyl Telecom
29119,12,329,AIRE NETWORKS DEL MEDITERRANEO SL UNIPERSONAL
212895,12,327,Johannes Ernst
29226,12,275,MasterTel
8641,12,229,"LLC ""Nauka-Svyaz"""
4657,12,164,StarHub Ltd
18678,12,158,INTERNEXA S.A. E.S.P
4788,12,154,TM Technology Services Sdn. Bhd.
52925,12,152,Ascenty Data Centers e Telecomunicações S/A
34224,12,151,Neterra Ltd.
49915,12,143,Megaport (UK) Limited
9829,12,82,BSNL (Bharat Sanchar Nigam Ltd)
202984,12,64,Team-Host (Chernyshov Aleksandr Aleksandrovich)
29049,12,60,Delta Telecom Ltd
35104,12,53,Jusan Mobile JSC
9658,12,36,"Eastern Telecommunications Philippines, Inc."
24637,12,25,WEBDISCOUNT GmbH & Co. KG
214757,12,19,Jakub Krsa
18450,12,17,"WebNX, Inc."
8781,12,12,Ooredoo Q.S.C.
25467,12,11,Akton d.o.o.
7979,12,10,"Servers.com, Inc."
