Rank,ASN,Cone_Size,Node_Degree,Direct_Customers
573,262191,59,60,57
574,33660,58,62,58
575,26801,58,56,53
576,263703,58,52,43
577,29208,58,84,51
578,5578,58,79,52
579,24724,58,77,45
580,136907,58,102,10
581,132280,58,67,58
582,12541,58,58,56
583,9848,58,64,49
584,835,57,79,52
585,35699,57,70,55
586,58656,57,51,44
587,5713,57,84,41
588,55818,57,87,35
589,600,57,62,56
590,33490,57,61,57
591,3170,56,74,43
592,8412,56,64,50
593,28173,56,61,50
594,52872,56,59,49
595,7342,56,104,56
596,197068,56,67,52
597,31042,55,78,55
598,1759,55,58,55
599,5089,55,62,55
600,8764,55,79,42
601,28761,55,70,55
602,3204,55,75,44
603,12695,54,75,48
604,45177,54,53,46
605,4809,54,61,30
606,22356,54,89,31
607,262740,54,58,44
608,50581,54,71,39
609,49063,54,71,50
610,719,54,55,51
611,15994,54,62,54
612,43668,53,65,43
613,45558,53,57,38
614,25180,53,72,52
615,13977,52,55,52
616,7459,52,59,48
617,9505,52,82,31
618,14789,52,64,22
619,4515,52,58,50
620,48678,52,59,41
621,11232,52,59,44
622,3561,52,56,52
623,4780,52,67,47
624,3249,52,56,52
625,10753,51,61,51
626,207841,51,63,45
627,24516,51,54,45
628,36086,51,64,51
629,50606,51,54,42
630,28189,51,57,47
631,30517,51,58,45
632,6181,50,56,49
633,26677,50,60,50
634,38794,50,58,50
635,1853,50,60,47
636,138915,50,113,18
637,6768,49,62,38
638,8926,49,79,43
639,16086,49,61,49
640,8449,49,46,38
641,22677,48,47,45
642,56048,48,47,46
643,52840,48,52,42
644,52444,48,54,46
645,27552,48,55,45
646,12271,48,53,48
647,5391,48,58,44
648,17451,47,66,40
649,11260,47,69,43
650,3399,47,67,39
651,136334,47,46,43
652,45474,47,92,31
653,33662,47,55,47
654,8849,47,80,42
655,30600,47,50,45
656,22645,47,57,47
657,9931,47,52,45
658,45430,47,87,26
659,12301,47,69,47
660,11096,46,53,45
661,41313,46,78,41
662,150748,46,62,46
663,53180,46,46,38
664,43727,46,80,38
665,6774,46,91,28
666,44306,46,72,37
667,61621,46,58,44
668,35104,46,61,37
669,46450,46,58,42
670,64126,45,52,43
671,31261,45,47,45
672,31898,45,103,37
673,266445,45,46,35
674,9381,45,86,43
675,17433,45,61,39
676,25227,45,46,42
677,15935,45,63,30
678,13807,45,54,45
679,6697,45,61,27
680,1916,45,53,37
681,2588,45,41,40
682,16814,44,49,43
683,24875,44,76,44
684,135718,44,48,42
685,6849,44,66,43
686,55850,44,58,23
687,8283,43,77,32
688,52871,43,49,41
689,141731,43,47,42
690,9924,43,69,41
691,55330,43,47,41
692,19332,43,47,37
693,262999,42,49,38
694,12654,42,74,12
695,58945,42,52,42
696,1237,42,44,42
697,43061,42,51,40
698,13576,42,52,42
699,11272,42,50,42
700,23688,42,48,42
701,49600,42,72,37
702,4812,42,47,41
703,13249,41,63,29
704,2860,41,56,40
705,137085,41,46,38
706,8932,41,62,30
707,12083,41,51,41
708,63473,41,66,39
709,9457,41,49,33
710,208293,41,45,31
711,4181,41,56,39
712,16713,40,46,35
713,132215,40,43,37
714,27951,40,55,40
715,212330,40,34,29
716,38272,40,41,40
717,49100,40,42,39
718,35179,40,71,37
719,140641,40,49,39
720,15440,40,45,37
721,2200,40,60,38
722,9425,40,41,40
723,6325,40,45,39
724,8595,40,52,40
725,6661,39,64,35
726,4922,39,43,38
727,3816,39,45,37
728,207336,39,68,23
729,40850,39,50,32
730,33154,39,44,39
731,81,39,46,39
732,262494,39,47,34
733,3112,39,39,38
734,8492,39,56,37
735,30058,39,71,27
736,6424,39,79,31
737,6205,39,49,37
738,266409,39,43,33
739,21508,39,44,39
740,30036,38,44,37
741,42,38,108,13
742,45629,38,60,25
743,12406,38,38,34
744,21413,38,58,37
745,34250,38,40,38
746,9268,38,38,35
747,37497,38,61,31
748,51847,38,56,32
749,28458,38,66,36
750,21559,38,48,38
751,17072,37,57,35
752,6799,37,40,35
753,266167,37,39,30
754,21700,37,52,35
755,135905,37,40,34
756,15802,37,85,28
757,30823,37,48,29
758,13789,37,44,36
759,15576,37,59,33
760,4229,37,87,20
761,22974,37,40,37
762,9145,37,75,36
763,138423,37,39,35
764,53158,37,44,36
765,12213,37,44,37
766,9902,36,63,33
767,12042,36,44,36
768,17501,36,37,36
769,24835,36,40,36
770,206810,36,39,30
771,273683,36,44,32
772,2518,36,50,26
773,24323,36,41,36
774,53427,36,49,26
775,10490,36,41,32
776,7004,36,40,33
777,38264,36,38,34
778,19754,35,48,34
779,43531,35,46,33
780,8422,35,64,32
781,149765,35,37,32
782,23352,35,51,32
783,5610,35,51,34
784,49666,35,49,16
785,38757,35,65,35
786,38235,35,57,33
787,263774,35,37,32
788,21219,35,36,35
789,6057,35,66,23
790,9905,35,39,34
791,31117,35,47,32
792,14618,34,38,34
793,25019,34,42,33
794,28198,34,60,28
795,28158,34,42,32
796,11492,34,39,30
797,27947,34,44,33
798,24940,34,78,30
799,12722,34,51,34
800,263276,34,44,30
801,6866,34,58,28
802,41039,34,43,30
803,9341,34,38,34
804,27066,34,36,34
805,266181,34,43,31
806,263327,34,48,34
807,16904,34,37,34
808,13415,34,46,34
809,293,34,64,34
810,19151,34,46,30
811,25645,34,51,34
812,327782,34,43,32
813,262532,34,43,34
814,13329,34,38,31
815,394437,34,43,33
816,64302,33,33,33
817,263073,33,44,32
818,25369,33,74,26
819,29695,33,42,32
820,42739,33,46,31
821,63961,33,37,33
822,134823,33,55,30
823,55666,33,46,33
824,263629,33,40,32
825,45352,33,72,29
826,269595,33,40,29
827,197103,33,34,33
828,196925,33,64,26
829,19905,33,46,32
830,1136,33,68,26
831,10010,33,47,32
832,5384,33,35,33
833,42831,33,62,32
834,17621,33,39,33
835,132116,33,38,30
836,28725,32,63,30
837,49544,32,95,31
838,263238,32,40,32
839,8470,32,40,31
840,38022,32,44,32
841,267469,32,40,27
842,22909,32,37,32
843,17054,32,41,32
844,1241,32,60,31
845,6667,32,54,25
846,4213,32,45,29
847,3737,32,43,31
848,4768,32,39,32
849,1653,32,38,32
850,60976,32,32,31
851,61049,32,98,20
852,25394,32,58,29
853,212477,32,57,22
854,328748,31,57,30
855,262186,31,42,31
856,19114,31,37,31
857,9658,31,71,30
858,11758,31,37,30
859,21283,31,36,30
860,5488,31,34,31
861,13094,31,43,26
862,15836,31,32,27
863,38182,31,62,27
864,11776,31,35,30
865,10310,31,93,31
866,24400,31,36,31
867,37061,31,34,31
868,29278,31,42,27
869,24088,31,51,25
870,23404,31,41,30
871,264293,31,40,29
872,14877,31,35,31
873,38008,31,45,29
874,22911,31,37,31
875,29465,31,38,31
876,18002,31,33,26
877,63956,30,50,28
878,133720,30,33,28
879,40948,30,37,30
880,21013,30,61,29
881,29314,30,51,24
882,3327,30,71,28
883,16302,30,36,29
884,15296,30,35,30
885,397423,30,41,24
886,36994,30,61,24
887,31313,30,38,30
888,5408,30,35,29
889,12849,30,41,29
890,133001,30,34,28
891,28202,30,40,26
892,55352,30,37,30
893,9255,30,39,29
894,133524,30,34,29
895,12843,30,53,28
896,7782,30,40,30
897,49981,30,69,30
898,25184,30,33,29
899,8374,30,51,30
900,137367,30,54,27
901,55821,30,42,25
902,21320,30,53,19
903,13999,29,37,28
904,237,29,38,29
905,31549,29,32,29
906,13110,29,46,29
907,146788,29,30,29
908,138997,29,48,19
909,20207,29,36,29
910,58678,29,36,29
911,36352,29,40,28
912,24186,29,33,29
913,60330,29,33,29
914,48648,29,42,28
915,327708,29,46,25
916,3262,29,40,28
917,15704,29,44,29
918,266525,29,39,28
919,6677,29,48,23
920,396986,29,110,10
921,16010,29,33,29
922,136255,29,45,27
923,20552,29,33,28
924,51074,29,31,29
925,203214,29,29,25
926,15290,29,36,29
927,16097,29,53,28
928,327693,29,33,27
929,263269,29,36,29
930,58299,28,58,25
931,265377,28,41,27
932,13489,28,37,27
933,151690,28,33,26
934,63023,28,69,25
935,61745,28,33,26
936,53065,28,37,26
937,398465,28,73,23
938,45274,28,29,22
939,21050,28,30,28
940,30722,28,35,28
941,16905,28,31,28
942,14265,28,32,27
943,25956,28,32,28
944,4007,28,31,28
