asn,cc,name,verdict,apnic_score,cone,dirty_feeds,total_feeds
20057,US,"AT&T Enterprises, LLC",Stub: ACTIVE LOCAL ROV,99.83,2,1,2
397412,US,Tachus Fiber Internet,Stub: ACTIVE LOCAL ROV,99.97,2,1,3
20879,PT,Digi Portugal,Stub: ACTIVE LOCAL ROV,99.78,2,1,1
45725,ID,PT Kings Network Indonesia,Stub: ACTIVE LOCAL ROV,100.0,2,4,4
29413,DE,KOMRO Gesellschaft fuer Telekommunikation mit beschraenkter Haftung,Stub: ACTIVE LOCAL ROV,100.0,2,1,4
29505,DE,Stadtwerke Luebeck Digital GmbH,Stub: ACTIVE LOCAL ROV,100.0,2,1,3
21412,LT,"UAB ""Cgates""",Stub: ACTIVE LOCAL ROV,99.87,2,2,7
6167,US,Verizon Business,Stub: ACTIVE LOCAL ROV,99.89,2,2,3
204064,CZ,CEZNET s.r.o.,Stub: ACTIVE LOCAL ROV,100.0,2,1,1
57269,ES,DIGI SPAIN TELECOM S.L.,Stub: ACTIVE LOCAL ROV,99.92,2,1,1
327750,ZA,JENNY INTERNET (PTY) LTD,Stub: ACTIVE LOCAL ROV,99.71,0,1,2
73,US,University of Washington,Stub: ACTIVE LOCAL ROV,99.35,0,1,1
327822,ZA,Airpark Beaufort West CC,Stub: ACTIVE LOCAL ROV,100.0,0,2,3
8362,FR,NordNet SA,Stub: ACTIVE LOCAL ROV,99.69,0,1,2
205007,RS,Maxim Azarov trading as eServer,Stub: ACTIVE LOCAL ROV,100.0,0,1,1
239,CA,University of Toronto,Stub: ACTIVE LOCAL ROV,100.0,0,1,1
57728,CZ,CEZNET s.r.o.,Stub: ACTIVE LOCAL ROV,100.0,0,1,1
328266,ZA,Atomic Access,Stub: ACTIVE LOCAL ROV,100.0,0,3,3
8887,SK,"TESATEL, s.r.o.",Stub: ACTIVE LOCAL ROV,100.0,0,1,1
58130,SK,rsnet s.r.o.,Stub: ACTIVE LOCAL ROV,100.0,0,1,1
197540,DE,netcup GmbH,Stub: ACTIVE LOCAL ROV,99.22,0,1,1
50163,CZ,Altnet s.r.o.,Stub: ACTIVE LOCAL ROV,100.0,0,2,2
42003,LB,OGERO,Stub: ACTIVE LOCAL ROV,99.99,0,1,1
205975,GB,Fibre Assets Ltd,Stub: ACTIVE LOCAL ROV,99.15,0,1,4
42189,CZ,Druzstvo EUROSIGNAL,Stub: ACTIVE LOCAL ROV,99.75,0,2,2
197892,PL,Spoldzielnia Mieszkaniowa W Nowym Tomyslu,Stub: ACTIVE LOCAL ROV,99.1,0,2,2
42334,LB,Broadband Plus S.a.l.,Stub: ACTIVE LOCAL ROV,98.81,0,2,2
206420,CZ,KABEL servis Praha spol. s r.o.,Stub: ACTIVE LOCAL ROV,100.0,0,1,1
263771,VE,"IP NET, C.A.",Stub: ACTIVE LOCAL ROV,98.72,0,1,2
50999,SA,King Abdullah University of Science and Technology,Stub: ACTIVE LOCAL ROV,100.0,0,2,3
34622,SE,Bredband i Kristianstad AB,Stub: ACTIVE LOCAL ROV,100.0,0,1,2
214996,US,netcup GmbH - Manassas,Stub: ACTIVE LOCAL ROV,98.86,0,1,1
51167,DE,Contabo GmbH,Stub: ACTIVE LOCAL ROV,99.23,0,1,4
206912,CY,Superdach LTD,Stub: ACTIVE LOCAL ROV,100.0,0,1,1
35007,PL,Miconet Sp. z o.o.,Stub: ACTIVE LOCAL ROV,99.43,0,1,2
43507,CZ,"RETE internet, s.r.o.",Stub: ACTIVE LOCAL ROV,100.0,0,1,2
35378,PL,Sat Film Sp. z o.o.,Stub: ACTIVE LOCAL ROV,99.58,0,1,3
43915,GB,TrueSpeed Communications Limited,Stub: ACTIVE LOCAL ROV,99.08,0,1,3
396185,US,GILES-CRAIG COMMUNICATIONS INC.,Stub: ACTIVE LOCAL ROV,100.0,0,2,2
60377,GB,toob limited,Stub: ACTIVE LOCAL ROV,99.64,0,1,2
19901,US,Brightspeed,Stub: ACTIVE LOCAL ROV,99.8,0,2,4
396952,US,"Net253, LLC",Stub: ACTIVE LOCAL ROV,100.0,0,1,2
397068,US,CarolinaConnect Cooperative,Stub: ACTIVE LOCAL ROV,98.71,0,1,2
200735,DE,MN Glasfaser GmbH trading as MUENET GmbH & Co. KG,Stub: ACTIVE LOCAL ROV,99.05,0,1,1
61510,AR,Cooperativa Telefonica de Calafate Ltda.,Stub: ACTIVE LOCAL ROV,100.0,0,3,3
209040,DE,SeWiKom GmbH,Stub: ACTIVE LOCAL ROV,99.8,0,1,1
61615,BR,FALE S.A.,Stub: ACTIVE LOCAL ROV,99.17,0,1,2
201011,DE,Core-Backbone GmbH,Stub: ACTIVE LOCAL ROV,100.0,0,1,1
266832,CO,CONEXIONES TECNOLOGICAS Y COMUNICACION S.A.S.,Stub: ACTIVE LOCAL ROV,99.63,0,2,3
201533,CZ,United Networks SE,Stub: ACTIVE LOCAL ROV,98.59,0,1,1
21565,US,"Horry Telephone Cooperative, Inc.",Stub: ACTIVE LOCAL ROV,99.61,0,1,1
201838,GB,Community Fibre Limited,Stub: ACTIVE LOCAL ROV,99.43,0,1,2
38229,LK,"Lanka Education & Research Network, NREN",Stub: ACTIVE LOCAL ROV,100.0,0,1,2
5786,PR,University of Puerto Rico,Stub: ACTIVE LOCAL ROV,100.0,0,1,1
399016,CA,Canadian Fiber Optics Corp.,Stub: ACTIVE LOCAL ROV,99.04,0,1,3
210793,DE,Altonetz GmbH,Stub: ACTIVE LOCAL ROV,100.0,0,1,1
202605,CZ,"EMPECOM, s.r.o.",Stub: ACTIVE LOCAL ROV,100.0,0,2,2
6058,CA,Northwestel Inc.,Stub: ACTIVE LOCAL ROV,100.0,0,1,1
202870,IT,Dimensione S.r.l.,Stub: ACTIVE LOCAL ROV,99.53,0,1,4
22709,US,"North State Telephone, LLC",Stub: ACTIVE LOCAL ROV,99.54,0,2,5
211309,NO,Obos Nett AS,Stub: ACTIVE LOCAL ROV,99.43,0,1,1
7065,US,"Sonic.net, LLC",Stub: ACTIVE LOCAL ROV,99.0,0,2,4
31775,US,"Greenlight Networks, LLC",Stub: ACTIVE LOCAL ROV,99.75,0,1,3
203847,IT,Marconi Solutions Srls,Stub: ACTIVE LOCAL ROV,100.0,0,1,2
56465,UA,Therecom Ltd,Stub: ACTIVE LOCAL ROV,98.79,0,1,2
40098,US,"Community Antenna Service, Inc.",Stub: ACTIVE LOCAL ROV,100.0,0,1,2
56566,CZ,SATT a.s.,Stub: ACTIVE LOCAL ROV,98.04,0,1,2
204058,SK,"Fibris, s.r.o.",Stub: ACTIVE LOCAL ROV,100.0,0,1,1
56933,SK,Datagram s.r.o.,Stub: ACTIVE LOCAL ROV,99.13,0,1,1
24165,TW,UNION BROADBAND NETWORK,Stub: ACTIVE LOCAL ROV,98.16,0,1,1
1299,US,Arelion (fka. Telia Carrier),CORE PROTECTOR (Tier 1),62.16,61899,0,0
3356,US,Lumen (Level 3),CORE PROTECTOR (Tier 1),99.26,61868,0,0
174,US,"Cogent Communications, LLC",CORE PROTECTOR (Tier 1),92.9,56709,0,0
3257,US,GTT Communications Inc.,CORE PROTECTOR (Tier 1),95.89,44086,0,0
6939,US,Hurricane Electric LLC,CORE PROTECTOR (Tier 1),87.54,34660,0,0
3320,DE,Deutsche Telekom AG,CORE PROTECTOR (Tier 1),99.78,12418,0,0
701,US,Verizon Business,CORE PROTECTOR (Tier 1),99.8,4741,0,0
6830,NL,Liberty Global Europe Holding B.V.,CORE PROTECTOR (Tier 1),-1.0,3315,0,0
7018,US,"AT&T Enterprises, LLC",CORE PROTECTOR (Tier 1),56.22,2684,0,0
9299,PH,PLDT (Philippine Long Distance Telephone Company),Transit: LEAKING,0.31,225,12,17
53667,US,FranTech Solutions,Transit: LEAKING,18.45,169,3,5
55824,IN,NKN Core Network,Transit: LEAKING,2.63,87,2,2
17451,ID,Biznet Networks,Transit: LEAKING,2.03,60,5,9
6866,CY,Cyprus Telecommunications Authority,Transit: LEAKING,0.26,36,2,6
27882,BO,Telefónica Celular de Bolivia S.A.,Transit: LEAKING,16.44,17,6,6
8468,GB,Cityfibre Limited,Transit: LEAKING,13.4,13,0,2
141968,ID,PT Industri Kreatif Digital,Transit: LEAKING,0.7,10,7,7
23031,EC,TELECU TELECOMUNICACIONES DEL ECUADOR TELECUSA S.A.S.,Transit: LEAKING,18.67,9,8,10
209847,NL,WorkTitans B.V.,Transit: LEAKING,3.15,7,24,34
62425,TR,Mailbox Internet Hizmetleri Ltd. Sti.,Transit: LEAKING,0.0,7,1,1
62563,CA,GLOBALTELEHOST Corp.,Transit: LEAKING,14.04,7,1,3
29974,CA,Wightman Telecom,Transit: LEAKING,10.21,6,1,3
45355,FJ,Digicel Fiji Limited,Stub: LEAKING,1.51,5,2,2
152605,PK,Z COM NETWORKS,Stub: LEAKING,0.69,4,1,1
5482,GB,AllPoints Fibre Limited,Stub: LEAKING,8.97,4,1,3
3,US,Massachusetts Institute of Technology,Stub: LEAKING,12.14,3,8,11
57356,GB,Highland Network Ltd,Stub: LEAKING,2.02,3,0,1
24757,ET,Ethio telecom,Stub: LEAKING,7.91,3,5,5
33582,LC,Digicel St.Lucia Ltd,Stub: LEAKING,0.14,3,1,1
42611,GB,Full Fibre Limited,Stub: LEAKING,5.42,2,1,2
26253,US,"South Central Communications, Inc.",Stub: LEAKING,0.0,2,0,2
133612,AU,Vodafone Australia Pty Ltd,Stub: LEAKING,8.96,2,1,1
12978,TR,ANDROMEDA TV DIGITAL PLATFORM ISLETMECILIGI A.S.,Stub: LEAKING,17.21,2,2,2
269938,PE,ADN TELECOM S.A.C.,Stub: LEAKING,0.0,2,2,3
25135,GB,Vodafone Limited,Stub: LEAKING,0.43,0,1,1
17421,TW,Emome (Chunghwa Telecom),Stub: LEAKING,5.34,0,0,1
132423,IN,Powai,Stub: LEAKING,0.0,0,2,3
50666,PT,LigaT Telecom Sociedade Unipessoal LDA,Stub: LEAKING,4.2,0,1,1
51918,GB,Cerberus Networks Ltd,Stub: LEAKING,18.87,0,0,2
44291,UA,Infomir LLC,Stub: LEAKING,0.0,0,1,4
208172,US,Proton AG,Stub: LEAKING,4.6,0,2,2
44695,UA,FOP Markovskiy Denis Vadimovich,Stub: LEAKING,0.09,0,1,2
397332,US,City of Anacortes,Stub: LEAKING,4.27,0,1,2
202208,DE,teutel GmbH,Stub: LEAKING,4.02,0,1,2
63025,US,NOHAVPS LLC,Stub: LEAKING,0.0,0,3,4
202401,DE,Webhosting24 GmbH,Stub: LEAKING,1.49,0,1,1
47202,PT,LAZER TELECOMUNICACOES S.A.,Stub: LEAKING,1.01,0,1,4
56329,GB,Gigaclear Limited,Stub: LEAKING,3.74,0,0,3
15457,PT,"NOS Madeira Comunicacoes, S.A.",Stub: LEAKING,0.39,0,0,1
212623,PL,NysaNet sp. z o.o.,Stub: LEAKING,9.64,0,2,2
