asn,name,cc,cone,verdict,apnic_score,dirty_feeds,total_feeds
62255,BiMajLink d.o.o.,XX,526,PARTIAL (Mixed Feeds),-1.0,7,16
8708,DIGI ROMANIA S.A.,XX,512,SECURE (Active Local ROV),-1.0,3,11
37662,West Indian Ocean Cable Company (WIOCC),XX,508,PARTIAL (Mixed Feeds),0.25,12,22
9121,Turk Telekom,XX,508,SECURE (Active Local ROV),-1.0,1,10
28917,"Fiord Networks, UAB",XX,506,PARTIAL (Mixed Feeds),-1.0,11,24
10429,Vivo (TELEFÔNICA BRASIL),XX,498,SECURE (Full Coverage),-1.0,0,1
4800,PT Aplikanusa Lintasarta,XX,497,PARTIAL (Mixed Feeds),1.25,7,16
55655,PT Sarana Insan Muda Selaras,XX,492,PARTIAL (Mixed Feeds),0.0,1,6
23947,PT Mora Telematika Indonesia Tbk,XX,490,SECURE (Active Local ROV),-1.0,7,15
11537,Internet2,XX,484,SECURE (Full Coverage),-1.0,0,2
20804,Exatel S.A.,XX,472,PARTIAL (Mixed Feeds),-1.0,7,16
61292,Blix Group AS,XX,470,PARTIAL (Mixed Feeds),-1.0,3,10
54004,Optimum WiFi,XX,469,SECURE (Full Coverage),-1.0,0,2
2497,Internet Initiative Japan Inc.,XX,452,SECURE (Active Local ROV),-1.0,1,12
3786,LG DACOM Corporation,XX,451,PARTIAL (Mixed Feeds),0.02,3,10
4608,Asia Pacific Network Information Centre,XX,451,PARTIAL (Mixed Feeds),-1.0,2,10
1273,Vodafone Group PLC,XX,450,CORE: PROTECTED,-1.0,0,0
138840,PT Parsaoran Global Datatrans,XX,431,PARTIAL (Mixed Feeds),-1.0,1,6
267613,ELETRONET S.A.,XX,429,SECURE (Active Local ROV),-1.0,3,12
58453,China Mobile International,XX,429,PARTIAL (Mixed Feeds),-1.0,11,28
50607,Stowarzyszenie e-Poludnie,XX,428,SECURE (Full Coverage),-1.0,0,5
7545,TPG Telecom Limited,XX,427,SECURE (Active Local ROV),-1.0,1,7
7717,OpenIXP Route Servers,XX,422,PARTIAL (Mixed Feeds),-1.0,1,2
31500,Global Network Management Inc,XX,414,PARTIAL (Mixed Feeds),-1.0,12,23
3326,Datagroup PJSC,XX,402,SECURE (Active Local ROV),-1.0,12,23
7049,Silica Networks Argentina S.A.,XX,400,PARTIAL (Mixed Feeds),0.94,11,22
55836,Reliance Jio Infocomm Limited,XX,392,SECURE (Full Coverage),-1.0,0,1
264409,Huge Networks,XX,389,PARTIAL (Mixed Feeds),-1.0,11,28
206499,LOCIX LIMITED,XX,389,PARTIAL (Mixed Feeds),-1.0,6,9
17676,SoftBank Corp.,XX,381,SECURE (Full Coverage),-1.0,0,10
28283,Adyl Telecom,XX,380,PARTIAL (Mixed Feeds),-1.0,10,20
29535,Orange Polska Spolka Akcyjna,XX,380,SECURE (Active Local ROV),-1.0,5,15
4134,China Telecom Backbone,XX,377,CORE: UNPROTECTED,-1.0,0,0
50263,A-Systems Sp. z o.o.,XX,377,PARTIAL (Mixed Feeds),-1.0,13,25
19551,Incapsula Inc,XX,369,PARTIAL (Mixed Feeds),-1.0,12,25
5617,Orange Polska Spolka Akcyjna,XX,356,SECURE (Full Coverage),-1.0,0,1
50509,Transroute.Net,XX,354,PARTIAL (Mixed Feeds),-1.0,6,11
10075,Fiber@Home Global Limited,XX,348,PARTIAL (Mixed Feeds),0.38,3,6
7029,Windstream Communications LLC,XX,347,SECURE (Full Coverage),-1.0,0,5
29076,Citytelecom LLC,XX,343,PARTIAL (Mixed Feeds),-1.0,8,17
271253,LINK BRASIL TELECOMUNICACOES LTDA,XX,342,PARTIAL (Mixed Feeds),-1.0,8,16
7473,Singapore Telecommunications Ltd,XX,336,SECURE (Active Local ROV),100.0,2,13
1031,PEER 1031 LLC,XX,328,PARTIAL (Mixed Feeds),-1.0,9,21
38158,PT Cyberindo Aditama,XX,325,PARTIAL (Mixed Feeds),-1.0,11,19
35297,Dataline LLC,XX,325,PARTIAL (Mixed Feeds),-1.0,12,25
55410,Vodafone Idea Ltd,XX,322,SECURE (Active Local ROV),-1.0,1,3
34984,Superonline Iletisim Hizmetleri A.S.,XX,321,SECURE (Full Coverage),-1.0,0,2
45820,Tata Teleservices ISP,XX,320,VULNERABLE (No Coverage),-1.0,1,1
7474,SingTel Optus Pty Ltd,XX,320,SECURE (Full Coverage),-1.0,0,2
29119,AIRE NETWORKS DEL MEDITERRANEO SL UNIPERSONAL,XX,296,PARTIAL (Mixed Feeds),-1.0,11,23
34872,Servperso Systems,XX,294,PARTIAL (Mixed Feeds),-1.0,8,15
62081,Stowarzyszenie e-Poludnie,XX,294,SECURE (Full Coverage),-1.0,0,5
15412,Flag Telecom UK Limited,XX,292,SECURE (Active Local ROV),-1.0,5,17
35625,Eurofiber France SAS,XX,292,PARTIAL (Mixed Feeds),-1.0,8,20
28368,Wirelink (Sobralnet),XX,288,SECURE (Active Local ROV),-1.0,1,4
13237,euNetworks GmbH,XX,288,PARTIAL (Mixed Feeds),-1.0,12,23
22381,SAMM (Megatelecom),XX,287,SECURE (Full Coverage),-1.0,0,4
52965,1Telecom,XX,286,PARTIAL (Mixed Feeds),-1.0,1,5
8280,SYNAPSECOM S.A. Provider of Telecommunications and Internet Services,XX,284,SECURE (Active Local ROV),-1.0,1,8
18403,FPT Telecom Company,XX,281,SECURE (Active Local ROV),98.71,5,17
9299,PLDT (Philippine Long Distance Telephone Company),XX,279,SECURE (Active Local ROV),-1.0,11,23
24785,Joint Transit (Broadband Hosting B.V.),XX,279,PARTIAL (Mixed Feeds),-1.0,7,11
7303,Telecom Argentina S.A.,XX,278,SECURE (Full Coverage),1.8,0,4
6830,Liberty Global Europe Holding B.V.,XX,276,CORE: PROTECTED,99.57,0,0
139341,WeChat/QQ CDN,XX,276,PARTIAL (Mixed Feeds),2.13,18,41
33491,"Comcast Cable Communications, LLC",XX,274,SECURE (Full Coverage),-1.0,0,1
139009,Windstream Communication Limited,XX,273,PARTIAL (Mixed Feeds),0.27,3,8
2516,KDDI Corporation,XX,271,PARTIAL (Mixed Feeds),-1.0,2,11
12912,T-Mobile Polska S.A.,XX,266,PARTIAL (Mixed Feeds),-1.0,7,15
6730,Sunrise GmbH,XX,265,SECURE (Active Local ROV),-1.0,1,4
10796,Charter Communications Inc,XX,265,SECURE (Full Coverage),-1.0,0,2
9009,M247 Europe SRL,XX,264,SECURE (Active Local ROV),0.44,11,28
3255,Ukrainian Academic and Research Network,XX,264,PARTIAL (Mixed Feeds),-1.0,4,10
20115,Charter Communications LLC,XX,262,SECURE (Full Coverage),-1.0,0,8
29226,MasterTel,XX,262,PARTIAL (Mixed Feeds),-1.0,9,16
58682,Level3 Carrier Ltd.,XX,259,PARTIAL (Mixed Feeds),0.31,2,7
18229,CtrlS,XX,255,PARTIAL (Mixed Feeds),-1.0,1,3
53181,K2 Telecom e Multimidia LTDA ME,XX,255,SECURE (Full Coverage),-1.0,0,2
23106,American Tower Brasil,XX,254,SECURE (Active Local ROV),-1.0,12,22
12552,GlobalConnect (IP-Only),XX,248,PARTIAL (Mixed Feeds),-1.0,13,26
11432,Telium Telecomunicações Ltda,XX,245,PARTIAL (Mixed Feeds),-1.0,1,7
35320,Eurotranstelecom Ltd,XX,244,SECURE (Active Local ROV),-1.0,13,26
812,Rogers Communications Canada Inc.,XX,239,SECURE (Full Coverage),-1.0,0,6
42337,Respina Networks & Beyond PJSC,XX,239,Unverified (Peer/Transit?),27.97,0,0
5650,Frontier Communications,XX,239,SECURE (Full Coverage),-1.0,0,3
20940,Akamai International B.V.,XX,238,PARTIAL (Mixed Feeds),-1.0,14,36
8881,1&1 Versatel GmbH,XX,236,SECURE (Active Local ROV),-1.0,13,24
9730,Bharti Telesonic Ltd,XX,235,VULNERABLE (No Coverage),-1.0,1,1
22927,Telefonica de Argentina,XX,235,SECURE (Active Local ROV),99.56,1,1
4787,PT Cyberindo Aditama,XX,234,SECURE (Full Coverage),0.99,0,3
263009,FORTE TELECOM LTDA.,XX,228,SECURE (Active Local ROV),-1.0,1,6
12874,Fastweb SpA,XX,224,SECURE (Active Local ROV),-1.0,8,17
61973,Netassist International s.r.o.,XX,224,PARTIAL (Mixed Feeds),-1.0,1,3
1828,Unitas Global,XX,223,PARTIAL (Mixed Feeds),-1.0,17,34
131111,PT Mora Telematika Indonesia Tbk,XX,223,SECURE (Full Coverage),0.25,0,2
31027,GlobalConnect A/S,XX,220,SECURE (Active Local ROV),-1.0,6,18
28598,MOB,XX,219,SECURE (Active Local ROV),-1.0,1,5
8717,A1 Bulgaria EAD,XX,219,PARTIAL (Mixed Feeds),-1.0,7,18
971,PureVoltage Hosting Inc.,XX,218,PARTIAL (Mixed Feeds),-1.0,2,9
12302,Vodafone Romania S.A.,XX,217,Unverified (Peer/Transit?),-1.0,0,0
16276,OVH SAS,XX,213,SECURE (Active Local ROV),1.41,11,26
8641,"LLC ""Nauka-Svyaz""",XX,210,PARTIAL (Mixed Feeds),-1.0,10,23
54994,Meteverse Limited,XX,209,PARTIAL (Mixed Feeds),0.0,19,42
9050,Orange Romania S.A.,XX,208,PARTIAL (Mixed Feeds),-1.0,13,27
53667,FranTech Solutions,XX,208,SECURE (Active Local ROV),-1.0,1,7
262663,METROFLEX TELECOMUNICACOES LTDA,XX,207,PARTIAL (Mixed Feeds),-1.0,2,6
198949,Radware,XX,207,PARTIAL (Mixed Feeds),-1.0,4,12
13536,"FirstLight Fiber, Inc.",XX,203,PARTIAL (Mixed Feeds),-1.0,5,12
7922,"Comcast Cable Communications, LLC",XX,203,CORE: PROTECTED,-1.0,0,0
11404,Wave Broadband,XX,202,SECURE (Active Local ROV),-1.0,1,9
45899,VNPT Corp,XX,201,SECURE (Active Local ROV),0.2,12,24
212895,Johannes Ernst,XX,198,PARTIAL (Mixed Feeds),-1.0,8,14
7738,V.tal,XX,196,SECURE (Full Coverage),-1.0,0,1
4761,PT Indosat Tbk,XX,193,PARTIAL (Mixed Feeds),91.14,12,22
6204,INTERKVM HOST SRL,XX,192,PARTIAL (Mixed Feeds),-1.0,18,37
17557,Pakistan Telecommunication Company Limited,XX,191,PARTIAL (Mixed Feeds),0.86,12,29
64289,Macarne.com,XX,190,PARTIAL (Mixed Feeds),-1.0,10,27
8447,A1 Telekom Austria AG,XX,187,SECURE (Active Local ROV),-1.0,13,31
60171,AFR-IX TELECOM S.A.,XX,186,SECURE (Active Local ROV),97.69,16,33
36236,"NetActuate, Inc",XX,186,SECURE (Active Local ROV),-1.0,14,30
263903,INFORBARRA TELECOM,XX,186,PARTIAL (Mixed Feeds),-1.0,1,5
702,Verizon Business - EMEA,XX,185,SECURE (Full Coverage),-1.0,0,11
32098,Flō Networks (Transtelco Inc.),XX,185,PARTIAL (Mixed Feeds),0.83,1,11
11164,Internet2 I2PX,XX,184,SECURE (Full Coverage),-1.0,0,7
59796,StormWall s.r.o.,XX,184,PARTIAL (Mixed Feeds),-1.0,9,21
263444,Open X Tecnologia Ltda,XX,181,SECURE (Active Local ROV),-1.0,11,23
199995,Omega Telecom LLC,XX,180,PARTIAL (Mixed Feeds),-1.0,14,31
58389,PT Sumber Data Indonesia,XX,179,PARTIAL (Mixed Feeds),-1.0,3,12
13649,Flexential Colorado Corp.,XX,178,SECURE (Full Coverage),-1.0,0,3
26615,TIM S/A,XX,178,SECURE (Active Local ROV),-1.0,2,4
57344,Telehouse EAD,XX,178,PARTIAL (Mixed Feeds),-1.0,11,27
53087,TELY Ltda.,XX,177,SECURE (Active Local ROV),-1.0,1,6
37271,Workonline Communications(Pty) Ltd,XX,177,SECURE (Active Local ROV),100.0,12,27
269194,ST1 INTERNET,XX,176,SECURE (Full Coverage),-1.0,0,5
3269,TIM S.p.A. (fka. Telecom Italia S.p.A.),XX,176,SECURE (Active Local ROV),-1.0,1,1
20205,"Amplex Electric, Inc.",XX,176,SECURE (Full Coverage),-1.0,0,4
8866,Vivacom Bulgaria EAD,XX,176,SECURE (Active Local ROV),-1.0,14,30
39392,SH.cz s.r.o.,XX,174,PARTIAL (Mixed Feeds),-1.0,3,11
18678,INTERNEXA S.A. E.S.P,XX,173,PARTIAL (Mixed Feeds),1.06,11,25
8551,Bezeq International Ltd.,XX,172,PARTIAL (Mixed Feeds),-1.0,9,27
269096,NORTH TECNOLOGIA,XX,171,PARTIAL (Mixed Feeds),-1.0,2,6
11664,Techtel LMDS Comunicaciones Interactivas S.A.,XX,171,SECURE (Full Coverage),8.38,0,6
1820,WNET TELECOM USA Corp.,XX,170,PARTIAL (Mixed Feeds),-1.0,13,28
12578,SIA Tet,XX,170,SECURE (Active Local ROV),-1.0,14,30
33651,"Comcast Cable Communications, LLC",XX,170,SECURE (Full Coverage),-1.0,0,1
45296,PT Rabik Bangun Nusantara,XX,169,PARTIAL (Mixed Feeds),0.52,4,9
15164,Unite Private Networks LLC.,XX,169,PARTIAL (Mixed Feeds),-1.0,2,6
1680,Cellcom Fixed Line Communication L.P,XX,168,PARTIAL (Mixed Feeds),-1.0,11,25
7015,"Comcast Cable Communications, LLC",XX,166,SECURE (Full Coverage),-1.0,0,1
265269,MEGA TELE INFORMATICA,XX,165,PARTIAL (Mixed Feeds),-1.0,1,5
52361,ARSAT - Empresa Argentina de Soluciones Satelitales S.A.,XX,164,Unverified (Peer/Transit?),97.78,0,0
53013,WIXNET DO BRASIL LTDA - ME,XX,164,SECURE (Active Local ROV),-1.0,1,3
4657,StarHub Ltd,XX,163,PARTIAL (Mixed Feeds),0.11,12,26
135607,Infinivan Incorporated,XX,162,PARTIAL (Mixed Feeds),-1.0,2,9
328977,Wavex Internet Service Provider LTD,XX,162,SECURE (Full Coverage),-1.0,0,2
20055,Ziply Fiber,XX,161,PARTIAL (Mixed Feeds),-1.0,1,8
2856,British Telecommunications,XX,160,SECURE (Active Local ROV),-1.0,3,7
15694,Atman Sp. z o.o.,XX,160,PARTIAL (Mixed Feeds),-1.0,13,23
5603,"Telekom Slovenije, d.d.",XX,159,PARTIAL (Mixed Feeds),0.33,9,22
201706,SERVICEPIPE LLC,XX,158,PARTIAL (Mixed Feeds),-1.0,8,18
6663,Türk Telekom International,XX,158,PARTIAL (Mixed Feeds),-1.0,17,33
28146,MHNET TELECOM,XX,158,PARTIAL (Mixed Feeds),-1.0,1,7
38195,Superloop,XX,157,SECURE (Active Local ROV),-1.0,5,16
150178,EXABYTE LTD,XX,157,PARTIAL (Mixed Feeds),-1.0,3,8
21949,Beanfield Technologies Inc.,XX,156,PARTIAL (Mixed Feeds),-1.0,6,16
20001,Charter Communications Inc,XX,153,SECURE (Full Coverage),-1.0,0,1
8455,atom86 BV,XX,152,PARTIAL (Mixed Feeds),-1.0,7,20
37282,Mainone Cable Company,XX,151,PARTIAL (Mixed Feeds),2.37,11,23
139589,GTDev Network,XX,151,PARTIAL (Mixed Feeds),-1.0,3,6
57821,Nonattached Network e.V.,XX,150,SECURE (Active Local ROV),-1.0,3,6
21574,Century Telecom Ltda,XX,150,PARTIAL (Mixed Feeds),-1.0,9,21
41051,Freetransit Project (Openfactory GmbH),XX,149,PARTIAL (Mixed Feeds),-1.0,2,5
45903,CMC Telecom Infrastructure Company,XX,149,PARTIAL (Mixed Feeds),1.86,17,32
15924,Vodafone Turkey,XX,149,SECURE (Full Coverage),-1.0,0,4
4788,TM Technology Services Sdn. Bhd.,XX,149,SECURE (Active Local ROV),94.67,11,28
38193,Transworld Associates (Pvt.) Ltd.,XX,148,PARTIAL (Mixed Feeds),2.99,14,31
13760,Uniti Fiber Holdings Inc.,XX,147,SECURE (Full Coverage),-1.0,0,4
52573,Une Telecom Ltda,XX,147,PARTIAL (Mixed Feeds),-1.0,2,7
23005,"SWITCH, LTD",XX,146,SECURE (Full Coverage),-1.0,0,4
7552,Viettel Group,XX,146,PARTIAL (Mixed Feeds),0.1,15,30
11427,Charter Communications Inc,XX,145,SECURE (Full Coverage),-1.0,0,1
58715,EARTH TELECOMMUNICATION (Pvt) LTD.,XX,145,PARTIAL (Mixed Feeds),0.3,16,28
3215,Orange S.A.,XX,145,SECURE (Active Local ROV),99.91,1,3
262589,SAMM,XX,144,SECURE (Active Local ROV),3.33,1,7
52925,Ascenty Data Centers e Telecomunicações S/A,XX,143,PARTIAL (Mixed Feeds),-1.0,1,6
58495,PT Parsaoran Global Datatrans,XX,143,PARTIAL (Mixed Feeds),1.4,3,9
43754,Asiatech Data Transmission company,XX,143,Unverified (Peer/Transit?),-1.0,0,0
29075,IELO-LIAZO SERVICES SAS,XX,143,SECURE (Active Local ROV),-1.0,17,32
43298,Storm Networks LLC,XX,142,PARTIAL (Mixed Feeds),-1.0,5,12
